#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 261; 3493444121; Roberto Antonio Paredes Reyes; 61; 44; 15/02/1985; 15/02/2029; 5; 3(C); C1; Medio; 2 Hora(s); Fraude
PPL 279; 7201139965; Roberto Angel Perero Rivera; 25; 24; 07/10/2020; 07/10/2044; 20; 3(C); C19; Medio; 2 Hora(s); Robo
PPL 280; 8806142754; Roberto Paulo Torres Rivera; 30; 12; 07/01/2014; 07/01/2026; 2; 3(C); C20; Medio; 2 Hora(s); Robo
PPL 281; 3130381613; Roberto Pablo Guerrero Roman; 55; 41; 21/10/1989; 21/10/2030; 6; 3(C); C21; Medio; 2 Hora(s); Fraude
PPL 282; 7312158387; Dario Antonio Paredes Roman; 56; 39; 19/09/1989; 19/09/2028; 4; 3(C); C22; Medio; 2 Hora(s); Hurto
PPL 283; 1434760677; Roberto Adrian Paredes Gomez; 50; 35; 09/01/1993; 09/01/2028; 4; 3(C); C23; Medio; 2 Hora(s); Hurto
PPL 284; 2471946154; Michael Adrian Perero Ramirez; 58; 41; 12/06/1986; 12/06/2027; 3; 3(C); C24; Medio; 2 Hora(s); Fraude
PPL 285; 7000287067; Michael Antonio Torres Hidalgo; 25; 13; 15/12/2019; 15/12/2032; 8; 3(C); C25; Medio; 2 Hora(s); Evasion
PPL 286; 8299051804; Fabian Angel Gonzales Sanchez; 45; 28; 03/11/2001; 03/11/2029; 5; 3(C); C26; Medio; 2 Hora(s); Hurto
PPL 287; 6740259990; Gonzalo Antonio Perero Rivera; 56; 37; 14/03/1989; 14/03/2026; 2; 3(C); C27; Medio; 2 Hora(s); Hurto
PPL 288; 8675221651; Mario Paulo Paredes Hidalgo; 56; 41; 30/12/1988; 30/12/2029; 5; 3(C); C28; Medio; 2 Hora(s); Fraude
PPL 289; 5727185794; Roberto Sergio Paredes Gomez; 60; 47; 12/11/1983; 12/11/2030; 6; 3(C); C29; Medio; 2 Hora(s); Fraude
PPL 290; 2470482060; Dario Sergio Paredes Hidalgo; 29; 12; 02/08/2015; 02/08/2027; 3; 3(C); C30; Medio; 2 Hora(s); Robo
PPL 291; 6462043558; Fabian Sergio Romero Roman; 31; 4; 06/08/2022; 06/08/2026; 2; 3(C); C31; Medio; 2 Hora(s); Evasion
PPL 292; 5373297971; Dario Angel Gonzales Sanchez; 27; 25; 03/12/2022; 03/12/2047; 23; 3(C); C32; Medio; 2 Hora(s); Evasion
PPL 293; 2108861605; Pedro Julian Paredes Ramirez; 31; 27; 28/01/2014; 28/01/2041; 17; 3(C); C33; Medio; 2 Hora(s); Fraude
PPL 294; 8975523086; Gonzalo Sergio Romero Morales; 46; 18; 08/12/2012; 08/12/2030; 6; 3(C); C34; Medio; 2 Hora(s); Fraude
PPL 295; 4687247968; Pedro Antonio Romero Roman; 37; 20; 09/04/2009; 09/04/2029; 5; 3(C); C35; Medio; 2 Hora(s); Fraude
PPL 296; 3392695680; Mario Sergio Paredes Sanchez; 44; 23; 23/12/2004; 23/12/2027; 3; 3(C); C36; Medio; 2 Hora(s); Hurto
PPL 297; 5343598718; Pedro Julian Perero Sanchez; 55; 39; 08/09/1991; 08/09/2030; 6; 3(C); C37; Medio; 2 Hora(s); Hurto
PPL 298; 7666245955; Fabian Sergio Perero Sanchez; 50; 32; 06/11/1994; 06/11/2026; 2; 3(C); C38; Medio; 2 Hora(s); Evasion
PPL 299; 7377983594; Gonzalo Paulo Guerrero Roman; 62; 43; 02/03/1984; 02/03/2027; 3; 3(C); C39; Medio; 2 Hora(s); Fraude
PPL 300; 9830864641; Victor Sergio Guerrero Sanchez; 58; 41; 30/03/1985; 30/03/2026; 2; 3(C); C40; Medio; 2 Hora(s); Evasion
PPL 301; 9733734541; Roberto Paulo Garcia Morales; 53; 37; 16/09/1993; 16/09/2030; 6; 3(C); C41; Medio; 2 Hora(s); Fraude
PPL 302; 3057493052; Victor Paulo Torres Reyes; 54; 38; 02/04/1989; 02/04/2027; 3; 3(C); C42; Medio; 2 Hora(s); Robo
PPL 303; 4217074606; Michael Adrian Gonzales Gomez; 34; 30; 07/09/2017; 07/09/2047; 23; 3(C); C43; Medio; 2 Hora(s); Evasion
PPL 304; 5694116931; Victor Antonio Gonzales Sanchez; 39; 21; 18/03/2007; 18/03/2028; 4; 3(C); C44; Medio; 2 Hora(s); Robo
PPL 305; 8049664291; Pedro Pablo Torres Roman; 55; 40; 02/02/1989; 02/02/2029; 5; 3(C); C45; Medio; 2 Hora(s); Evasion
PPL 306; 8359345819; Carlos Pablo Garcia Roman; 42; 14; 05/11/2016; 05/11/2030; 6; 3(C); C46; Medio; 2 Hora(s); Hurto
PPL 307; 1602744251; Dario Diego Romero Sanchez; 66; 46; 07/08/1980; 07/08/2026; 2; 3(C); C47; Medio; 2 Hora(s); Robo
PPL 308; 22890100123; Carlos Paulo Gonzales Rivera; 23; 7; 23/05/2022; 23/05/2029; 5; 3(C); C48; Medio; 2 Hora(s); Robo
PPL 309; 10023833990; Pedro Cesar Perero Reyes; 38; 22; 01/07/2005; 01/07/2027; 3; 3(C); C49; Medio; 2 Hora(s); Evasion
PPL 310; 6208740206; Gonzalo Antonio Cevallos Gomez; 57; 38; 21/09/1989; 21/09/2027; 3; 3(C); C50; Medio; 2 Hora(s); Robo
PPL 311; 6307995262; Roberto Cesar Romero Ramirez; 38; 22; 07/06/2023; 07/06/2045; 21; 3(C); C51; Medio; 2 Hora(s); Hurto
PPL 312; 8865345564; Dario Adrian Garcia Ramirez; 58; 43; 29/11/1985; 29/11/2028; 4; 3(C); C52; Medio; 2 Hora(s); Evasion
PPL 313; 2658246424; Roberto Julian Garcia Reyes; 46; 29; 08/03/1997; 08/03/2026; 2; 3(C); C53; Medio; 2 Hora(s); Robo
PPL 314; 8056946040; Victor Adrian Guerrero Espinosa; 37; 24; 12/06/2008; 12/06/2032; 8; 3(C); C54; Medio; 2 Hora(s); Hurto
PPL 315; 5734428051; Fabian Antonio Cevallos Reyes; 59; 43; 31/12/1985; 31/12/2028; 4; 3(C); C55; Medio; 2 Hora(s); Fraude
PPL 316; 7564282632; Mario Adrian Gonzales Roman; 59; 43; 16/10/1986; 16/10/2029; 5; 3(C); C56; Medio; 2 Hora(s); Robo
PPL 317; 7522771531; Mario Antonio Paredes Gomez; 47; 34; 08/01/1996; 08/01/2030; 6; 3(C); C57; Medio; 2 Hora(s); Robo
PPL 318; 3041511519; Roberto Pablo Paredes Rivera; 59; 43; 12/02/1984; 12/02/2027; 3; 3(C); C58; Medio; 2 Hora(s); Fraude
PPL 319; 1956783740; Gonzalo Angel Paredes Rivera; 34; 26; 21/11/2023; 21/11/2049; 25; 3(C); C59; Medio; 2 Hora(s); Robo
PPL 320; 6942136213; Dario Cesar Torres Gomez; 40; 24; 17/06/2003; 17/06/2027; 3; 3(C); C60; Medio; 2 Hora(s); Hurto
PPL 321; 5040059527; Roberto Antonio Romero Gomez; 51; 34; 06/08/1992; 06/08/2026; 2; 3(C); C61; Medio; 2 Hora(s); Hurto
PPL 322; 3894894515; Carlos Angel Cevallos Hidalgo; 63; 44; 23/07/1982; 23/07/2026; 2; 3(C); C62; Medio; 2 Hora(s); Fraude
PPL 323; 5827086780; Mario Angel Cuenca Roman; 58; 43; 03/05/1985; 03/05/2028; 4; 3(C); C63; Medio; 2 Hora(s); Robo
PPL 324; 4318914738; Pedro Antonio Garcia Espinosa; 43; 18; 03/05/2012; 03/05/2030; 6; 3(C); C64; Medio; 2 Hora(s); Robo
PPL 325; 2573895361; Gonzalo Diego Perero Gomez; 54; 39; 15/10/1990; 15/10/2029; 5; 3(C); C65; Medio; 2 Hora(s); Hurto
PPL 326; 3243274385; Fabian Adrian Cuenca Gomez; 31; 15; 28/01/2012; 28/01/2027; 3; 3(C); C66; Medio; 2 Hora(s); Evasion
PPL 327; 7790550991; Pedro Paulo Garcia Rivera; 35; 17; 06/03/2011; 06/03/2028; 4; 3(C); C67; Medio; 2 Hora(s); Hurto
PPL 328; 4810881814; Carlos Adrian Cuenca Hidalgo; 49; 12; 09/09/2013; 09/09/2025; 1; 3(C); C68; Medio; 2 Hora(s); Hurto
PPL 329; 2797165472; Fabian Antonio Guerrero Espinosa; 49; 18; 18/03/2022; 18/03/2040; 16; 3(C); C69; Medio; 2 Hora(s); Robo
PPL 330; 7303933878; Roberto Angel Perero Rivera; 46; 23; 09/08/2005; 09/08/2028; 4; 3(C); C70; Medio; 2 Hora(s); Evasion
PPL 331; 7380919337; Roberto Antonio Guerrero Espinosa; 41; 25; 02/06/2003; 02/06/2028; 4; 3(C); C71; Medio; 2 Hora(s); Evasion
PPL 332; 3882021164; Roberto Antonio Garcia Roman; 64; 46; 09/08/1982; 09/08/2028; 4; 3(C); C72; Medio; 2 Hora(s); Fraude
PPL 333; 9502242346; Mario Sergio Garcia Sanchez; 44; 28; 29/02/2001; 29/02/2029; 5; 3(C); C73; Medio; 2 Hora(s); Robo
PPL 334; 9889098370; Carlos Antonio Cevallos Hidalgo; 56; 43; 30/12/1987; 30/12/2030; 6; 3(C); C74; Medio; 2 Hora(s); Robo
PPL 335; 5418283876; Victor Pablo Cevallos Morales; 48; 10; 31/04/2018; 31/04/2028; 4; 3(C); C75; Medio; 2 Hora(s); Hurto
PPL 336; 4689956848; Gonzalo Sergio Cuenca Sanchez; 66; 46; 06/12/1980; 06/12/2026; 2; 3(C); C76; Medio; 2 Hora(s); Hurto
PPL 337; 3027191986; Pedro Paulo Garcia Hidalgo; 53; 34; 30/05/1992; 30/05/2026; 2; 3(C); C77; Medio; 2 Hora(s); Robo
PPL 338; 6146615533; Roberto Antonio Cuenca Reyes; 39; 23; 03/10/2006; 03/10/2029; 5; 3(C); C78; Medio; 2 Hora(s); Fraude
PPL 339; 9343723080; Fabian Antonio Garcia Reyes; 50; 8; 08/07/2024; 08/07/2032; 8; 3(C); C79; Medio; 2 Hora(s); Evasion
PPL 340; 8591979452; Roberto Antonio Garcia Espinosa; 47; 33; 04/09/1996; 04/09/2029; 5; 3(C); C80; Medio; 2 Hora(s); Evasion
PPL 341; 8943934014; Michael Paulo Cuenca Roman; 37; 20; 28/12/2009; 28/12/2029; 5; 3(C); C81; Medio; 2 Hora(s); Fraude
PPL 342; 3557711787; Roberto Paulo Gonzales Morales; 47; 19; 28/06/2010; 28/06/2029; 5; 3(C); C82; Medio; 2 Hora(s); Robo
PPL 343; 5269188630; Roberto Julian Torres Espinosa; 33; 29; 25/11/2012; 25/11/2041; 17; 3(C); C83; Medio; 2 Hora(s); Fraude
PPL 344; 9543287301; Victor Julian Gonzales Gomez; 43; 20; 22/10/2007; 22/10/2027; 3; 3(C); C84; Medio; 2 Hora(s); Robo
PPL 345; 7476667017; Roberto Adrian Paredes Gomez; 45; 18; 20/07/2024; 20/07/2042; 18; 3(C); C85; Medio; 2 Hora(s); Hurto
PPL 346; 7979159532; Fabian Paulo Paredes Morales; 42; 30; 07/11/2001; 07/11/2031; 7; 3(C); C86; Medio; 2 Hora(s); Evasion
PPL 347; 5741181285; Gonzalo Antonio Cuenca Espinosa; 36; 18; 02/04/2009; 02/04/2027; 3; 3(C); C87; Medio; 2 Hora(s); Robo
PPL 348; 7342369155; Mario Angel Romero Reyes; 49; 21; 29/11/2011; 29/11/2032; 8; 3(C); C88; Medio; 2 Hora(s); Fraude
PPL 349; 10021840753; Dario Cesar Gonzales Ramirez; 50; 33; 28/08/1993; 28/08/2026; 2; 3(C); C89; Medio; 2 Hora(s); Robo
PPL 350; 9827627663; Michael Julian Romero Gomez; 44; 24; 02/07/2012; 02/07/2036; 12; 3(C); C90; Medio; 2 Hora(s); Robo
PPL 351; 5161595008; Carlos Diego Romero Ramirez; 43; 25; 03/09/2003; 03/09/2028; 4; 3(C); C1; Medio; 2 Hora(s); Evasion
PPL 352; 28743100245; Pedro Pablo Garcia Rivera; 40; 16; 29/09/2020; 29/09/2036; 12; 3(C); C2; Medio; 2 Hora(s); Hurto
PPL 353; 9693544822; Mario Cesar Cevallos Morales; 20; 7; 19/02/2023; 19/02/2030; 6; 3(C); C3; Medio; 2 Hora(s); Robo
PPL 354; 6763456870; Gonzalo Sergio Perero Reyes; 28; 11; 08/04/2015; 08/04/2026; 2; 3(C); C4; Medio; 2 Hora(s); Evasion
PPL 355; 1420223910; Pedro Pablo Garcia Morales; 31; 11; 17/07/2015; 17/07/2026; 2; 3(C); C5; Medio; 2 Hora(s); Evasion
PPL 356; 3825494496; Mario Pablo Perero Reyes; 38; 23; 05/06/2005; 05/06/2028; 4; 3(C); C6; Medio; 2 Hora(s); Fraude
PPL 357; 1619750350; Victor Sergio Romero Gomez; 63; 47; 29/03/1980; 29/03/2027; 3; 3(C); C7; Medio; 2 Hora(s); Evasion
PPL 358; 2370373210; Pedro Antonio Torres Reyes; 55; 37; 17/09/1991; 17/09/2028; 4; 3(C); C8; Medio; 2 Hora(s); Evasion
PPL 359; 1277084921; Mario Angel Cuenca Reyes; 54; 38; 14/04/1991; 14/04/2029; 5; 3(C); C9; Medio; 2 Hora(s); Evasion
PPL 360; 8523829826; Gonzalo Paulo Gonzales Rivera; 36; 19; 02/02/2018; 02/02/2037; 13; 3(C); C10; Medio; 2 Hora(s); Evasion
PPL 361; 9670357929; Dario Paulo Torres Sanchez; 32; 17; 19/11/2013; 19/11/2030; 6; 3(C); C11; Medio; 2 Hora(s); Evasion
PPL 362; 3674579031; Dario Diego Cevallos Espinosa; 54; 38; 24/11/1991; 24/11/2029; 5; 3(C); C12; Medio; 2 Hora(s); Fraude
PPL 363; 1361736396; Michael Adrian Cuenca Rivera; 37; 12; 02/07/2023; 02/07/2035; 11; 3(C); C13; Medio; 2 Hora(s); Fraude
PPL 364; 9895444335; Victor Diego Romero Ramirez; 48; 24; 09/10/2013; 09/10/2037; 13; 3(C); C14; Medio; 2 Hora(s); Hurto
PPL 365; 4492265140; Roberto Julian Romero Reyes; 44; 22; 17/04/2014; 17/04/2036; 12; 3(C); C15; Medio; 2 Hora(s); Robo
PPL 366; 6557589700; Pedro Cesar Gonzales Gomez; 45; 28; 19/01/2000; 19/01/2028; 4; 3(C); C16; Medio; 2 Hora(s); Fraude
PPL 367; 1986621347; Roberto Julian Paredes Hidalgo; 45; 26; 23/02/2020; 23/02/2046; 22; 3(C); C17; Medio; 2 Hora(s); Evasion
PPL 368; 9715693994; Roberto Antonio Paredes Reyes; 59; 43; 31/06/1984; 31/06/2027; 3; 3(C); C18; Medio; 2 Hora(s); Robo
PPL 369; 5435290524; Dario Cesar Perero Sanchez; 48; 32; 23/04/1996; 23/04/2028; 4; 3(C); C19; Medio; 2 Hora(s); Fraude
PPL 370; 5418348735; Michael Diego Cevallos Morales; 37; 23; 08/12/2007; 08/12/2030; 6; 3(C); C20; Medio; 2 Hora(s); Hurto
PPL 371; 5094639738; Roberto Angel Torres Sanchez; 40; 23; 23/02/2003; 23/02/2026; 2; 3(C); C21; Medio; 2 Hora(s); Evasion
PPL 372; 8557756319; Gonzalo Sergio Cuenca Hidalgo; 42; 27; 16/06/2001; 16/06/2028; 4; 3(C); C22; Medio; 2 Hora(s); Hurto
PPL 373; 3462262895; Carlos Adrian Paredes Espinosa; 41; 28; 23/07/2002; 23/07/2030; 6; 3(C); C23; Medio; 2 Hora(s); Evasion
PPL 374; 2626176465; Fabian Antonio Perero Espinosa; 56; 40; 04/08/1987; 04/08/2027; 3; 3(C); C24; Medio; 2 Hora(s); Evasion
PPL 375; 3981132456; Carlos Antonio Torres Morales; 50; 32; 20/06/1996; 20/06/2028; 4; 3(C); C25; Medio; 2 Hora(s); Fraude
PPL 376; 2166215707; Roberto Sergio Guerrero Sanchez; 30; 20; 30/09/2013; 30/09/2033; 9; 3(C); C26; Medio; 2 Hora(s); Robo
PPL 377; 2134938108; Carlos Pablo Cevallos Morales; 41; 26; 24/02/2004; 24/02/2030; 6; 3(C); C27; Medio; 2 Hora(s); Hurto
PPL 378; 4563478352; Dario Antonio Cuenca Sanchez; 48; 32; 05/04/1995; 05/04/2027; 3; 3(C); C28; Medio; 2 Hora(s); Hurto
PPL 379; 1709859211; Roberto Angel Paredes Sanchez; 49; 33; 21/01/1997; 21/01/2030; 6; 3(C); C29; Medio; 2 Hora(s); Robo
PPL 380; 8221938127; Michael Antonio Romero Hidalgo; 63; 47; 07/10/1982; 07/10/2029; 5; 3(C); C30; Medio; 2 Hora(s); Evasion
PPL 381; 7485456616; Carlos Sergio Perero Sanchez; 43; 26; 02/11/2000; 02/11/2026; 2; 3(C); C31; Medio; 2 Hora(s); Evasion
PPL 382; 2324114166; Michael Paulo Garcia Morales; 40; 11; 14/04/2019; 14/04/2030; 6; 3(C); C32; Medio; 2 Hora(s); Fraude
PPL 383; 7293975174; Mario Angel Paredes Rivera; 50; 20; 02/08/2021; 02/08/2041; 17; 3(C); C33; Medio; 2 Hora(s); Hurto
PPL 384; 5557026811; Roberto Pablo Perero Gomez; 55; 37; 12/08/1991; 12/08/2028; 4; 3(C); C34; Medio; 2 Hora(s); Evasion
PPL 385; 7074858888; Victor Cesar Torres Ramirez; 38; 22; 02/08/2008; 02/08/2030; 6; 3(C); C35; Medio; 2 Hora(s); Robo
PPL 386; 9465179399; Roberto Adrian Garcia Morales; 33; 20; 13/10/2010; 13/10/2030; 6; 3(C); C36; Medio; 2 Hora(s); Hurto
PPL 387; 6017995069; Roberto Pablo Romero Ramirez; 64; 50; 02/12/1980; 02/12/2030; 6; 3(C); C37; Medio; 2 Hora(s); Fraude
PPL 388; 3509192911; Gonzalo Julian Paredes Ramirez; 31; 15; 17/03/2014; 17/03/2029; 5; 3(C); C38; Medio; 2 Hora(s); Evasion
PPL 389; 7821927972; Roberto Adrian Paredes Espinosa; 39; 24; 12/10/2006; 12/10/2030; 6; 3(C); C39; Medio; 2 Hora(s); Evasion
PPL 390; 6207472811; Carlos Pablo Cevallos Sanchez; 55; 38; 19/04/1988; 19/04/2026; 2; 3(C); C40; Medio; 2 Hora(s); Evasion
PPL 391; 1638424284; Michael Adrian Guerrero Hidalgo; 38; 22; 22/05/2017; 22/05/2039; 15; 3(C); C41; Medio; 2 Hora(s); Fraude
PPL 392; 1832995581; Roberto Sergio Paredes Reyes; 62; 46; 25/01/1981; 25/01/2027; 3; 3(C); C42; Medio; 2 Hora(s); Fraude
PPL 393; 6210010425; Roberto Diego Paredes Reyes; 30; 21; 10/11/2017; 10/11/2038; 14; 3(C); C43; Medio; 2 Hora(s); Fraude
PPL 394; 2142539718; Roberto Adrian Guerrero Sanchez; 38; 25; 26/10/2006; 26/10/2031; 7; 3(C); C44; Medio; 2 Hora(s); Evasion
PPL 395; 5202880884; Fabian Paulo Romero Espinosa; 35; 20; 31/07/2010; 31/07/2030; 6; 3(C); C45; Medio; 2 Hora(s); Hurto
PPL 396; 9302091926; Victor Sergio Garcia Sanchez; 29; 3; 21/10/2022; 21/10/2025; 1; 3(C); C46; Medio; 2 Hora(s); Robo
PPL 397; 10014849740; Roberto Paulo Garcia Roman; 35; 19; 30/06/2008; 30/06/2027; 3; 3(C); C47; Medio; 2 Hora(s); Hurto
PPL 398; 8274868327; Gonzalo Paulo Paredes Morales; 45; 28; 05/11/2000; 05/11/2028; 4; 3(C); C48; Medio; 2 Hora(s); Fraude
PPL 399; 9657351884; Fabian Angel Romero Espinosa; 36; 25; 17/03/2017; 17/03/2042; 18; 3(C); C49; Medio; 2 Hora(s); Robo
PPL 400; 3059135915; Roberto Pablo Perero Sanchez; 47; 31; 01/03/1996; 01/03/2027; 3; 3(C); C50; Medio; 2 Hora(s); Robo
PPL 401; 7685688930; Victor Pablo Garcia Sanchez; 42; 18; 31/10/2012; 31/10/2030; 6; 3(C); C51; Medio; 2 Hora(s); Hurto
PPL 402; 8817922245; Victor Antonio Torres Gomez; 22; 13; 07/08/2021; 07/08/2034; 10; 3(C); C52; Medio; 2 Hora(s); Evasion
PPL 403; 9691864682; Victor Angel Perero Rivera; 31; 12; 05/01/2014; 05/01/2026; 2; 3(C); C53; Medio; 2 Hora(s); Evasion
PPL 404; 1349961251; Pedro Angel Gonzales Hidalgo; 53; 40; 29/05/1990; 29/05/2030; 6; 3(C); C54; Medio; 2 Hora(s); Hurto
PPL 405; 9026611586; Gonzalo Diego Cuenca Roman; 24; 15; 30/01/2022; 30/01/2037; 13; 3(C); C55; Medio; 2 Hora(s); Robo
PPL 406; 7395914790; Roberto Antonio Cuenca Sanchez; 35; 17; 18/12/2020; 18/12/2037; 13; 3(C); C56; Medio; 2 Hora(s); Robo
PPL 407; 2376280835; Gonzalo Pablo Romero Hidalgo; 39; 15; 20/12/2014; 20/12/2029; 5; 3(C); C57; Medio; 2 Hora(s); Evasion
PPL 408; 1053292741; Mario Antonio Perero Reyes; 34; 23; 06/05/2019; 06/05/2042; 18; 3(C); C58; Medio; 2 Hora(s); Robo
PPL 409; 3757013196; Dario Paulo Garcia Roman; 56; 40; 08/08/1988; 08/08/2028; 4; 3(C); C59; Medio; 2 Hora(s); Hurto
PPL 410; 8308720529; Mario Cesar Perero Reyes; 54; 37; 08/08/1991; 08/08/2028; 4; 3(C); C60; Medio; 2 Hora(s); Fraude
PPL 411; 5511027194; Michael Adrian Cuenca Sanchez; 48; 31; 13/07/1995; 13/07/2026; 2; 3(C); C61; Medio; 2 Hora(s); Fraude
PPL 412; 2197676117; Roberto Sergio Garcia Hidalgo; 43; 18; 02/09/2016; 02/09/2034; 10; 3(C); C62; Medio; 2 Hora(s); Evasion
PPL 413; 2140675464; Roberto Antonio Guerrero Espinosa; 44; 24; 12/07/2014; 12/07/2038; 14; 3(C); C63; Medio; 2 Hora(s); Evasion
PPL 414; 3006615321; Victor Antonio Paredes Ramirez; 63; 46; 27/07/1980; 27/07/2026; 2; 3(C); C64; Medio; 2 Hora(s); Fraude
PPL 415; 6720269196; Pedro Pablo Gonzales Gomez; 36; 18; 25/02/2010; 25/02/2028; 4; 3(C); C65; Medio; 2 Hora(s); Fraude
PPL 416; 1523966421; Dario Antonio Guerrero Morales; 44; 26; 08/02/2002; 08/02/2028; 4; 3(C); C66; Medio; 2 Hora(s); Evasion
PPL 417; 8769041907; Roberto Cesar Paredes Sanchez; 62; 43; 27/06/1984; 27/06/2027; 3; 3(C); C67; Medio; 2 Hora(s); Evasion
PPL 418; 7142676472; Roberto Julian Perero Ramirez; 34; 20; 06/01/2009; 06/01/2029; 5; 3(C); C68; Medio; 2 Hora(s); Hurto
PPL 419; 1846613013; Victor Adrian Cevallos Sanchez; 26; 22; 01/08/2023; 01/08/2045; 21; 3(C); C69; Medio; 2 Hora(s); Evasion
PPL 420; 1587768296; Victor Diego Garcia Sanchez; 51; 35; 01/01/1992; 01/01/2027; 3; 3(C); C70; Medio; 2 Hora(s); Fraude
PPL 421; 8093013533; Mario Pablo Paredes Gomez; 39; 25; 19/12/2014; 19/12/2039; 15; 3(C); C71; Medio; 2 Hora(s); Evasion
PPL 422; 6607677305; Gonzalo Paulo Perero Sanchez; 49; 30; 05/02/1996; 05/02/2026; 2; 3(C); C72; Medio; 2 Hora(s); Evasion
PPL 423; 4143789462; Mario Antonio Paredes Hidalgo; 45; 11; 10/09/2016; 10/09/2027; 3; 3(C); C73; Medio; 2 Hora(s); Evasion
PPL 424; 3056284701; Pedro Antonio Gonzales Gomez; 52; 37; 10/11/1991; 10/11/2028; 4; 3(C); C74; Medio; 2 Hora(s); Hurto
PPL 425; 6504885067; Pedro Paulo Paredes Sanchez; 44; 11; 17/07/2015; 17/07/2026; 2; 3(C); C75; Medio; 2 Hora(s); Hurto
PPL 426; 6585874606; Roberto Antonio Romero Roman; 30; 13; 03/02/2017; 03/02/2030; 6; 3(C); C76; Medio; 2 Hora(s); Robo
PPL 427; 7123179081; Pedro Paulo Cuenca Roman; 61; 42; 28/02/1985; 28/02/2027; 3; 3(C); C77; Medio; 2 Hora(s); Hurto
PPL 428; 4167342124; Fabian Diego Perero Gomez; 50; 31; 30/12/1996; 30/12/2027; 3; 3(C); C78; Medio; 2 Hora(s); Robo
PPL 429; 6836786610; Dario Pablo Cuenca Ramirez; 56; 40; 03/02/1990; 03/02/2030; 6; 3(C); C79; Medio; 2 Hora(s); Evasion
PPL 430; 1489177204; Roberto Julian Paredes Morales; 48; 28; 10/10/1998; 10/10/2026; 2; 3(C); C80; Medio; 2 Hora(s); Robo
PPL 431; 3303667454; Gonzalo Adrian Romero Rivera; 30; 14; 02/02/2014; 02/02/2028; 4; 3(C); C81; Medio; 2 Hora(s); Evasion
