#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 3374583552; Victor Antonio Garcia Sanchez; 31; 18; 25/05/2020; 25/05/2038; 14; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 61; 2658729717; Gonzalo Cesar Cuenca Espinosa; 49; 35; 17/06/1994; 17/06/2029; 5; 1(A); A21; Alto; 1 Hora(s); Narcotrafico
PPL 62; 5165179348; Mario Antonio Paredes Sanchez; 44; 11; 11/08/2018; 11/08/2029; 5; 1(A); A22; Alto; 1 Hora(s); Homicidio
PPL 63; 8305194179; Roberto Julian Guerrero Morales; 25; 8; 01/06/2019; 01/06/2027; 3; 1(A); A23; Alto; 1 Hora(s); Homicidio
PPL 64; 7342479340; Dario Antonio Cuenca Espinosa; 64; 50; 26/10/1980; 26/10/2030; 6; 1(A); A24; Alto; 1 Hora(s); Homicidio
PPL 65; 3532451273; Roberto Diego Perero Hidalgo; 45; 6; 09/12/2020; 09/12/2026; 2; 1(A); A25; Alto; 1 Hora(s); Narcotrafico
PPL 66; 9703948295; Fabian Cesar Gonzales Rivera; 34; 26; 21/01/2011; 21/01/2037; 13; 1(A); A26; Alto; 1 Hora(s); Narcotrafico
PPL 67; 3812466357; Roberto Diego Torres Morales; 56; 43; 08/07/1987; 08/07/2030; 6; 1(A); A27; Alto; 1 Hora(s); Narcotrafico
PPL 68; 1821284008; Mario Adrian Romero Reyes; 47; 23; 30/11/2004; 30/11/2027; 3; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 69; 6217892173; Roberto Antonio Gonzales Ramirez; 55; 35; 14/02/1991; 14/02/2026; 2; 1(A); A29; Alto; 1 Hora(s); Homicidio
PPL 70; 5422032138; Fabian Antonio Torres Hidalgo; 38; 13; 23/10/2023; 23/10/2036; 12; 1(A); A30; Alto; 1 Hora(s); Homicidio
PPL 71; 8129946089; Roberto Diego Guerrero Morales; 28; 22; 03/09/2018; 03/09/2040; 16; 1(A); A31; Alto; 1 Hora(s); Homicidio
PPL 72; 6944722249; Roberto Diego Torres Reyes; 65; 48; 28/08/1980; 28/08/2028; 4; 1(A); A32; Alto; 1 Hora(s); Homicidio
PPL 73; 7231127214; Victor Pablo Paredes Morales; 32; 15; 23/03/2011; 23/03/2026; 2; 1(A); A33; Alto; 1 Hora(s); Narcotrafico
PPL 74; 3468384786; Pedro Adrian Romero Ramirez; 35; 9; 08/07/2016; 08/07/2025; 1; 1(A); A34; Alto; 1 Hora(s); Homicidio
PPL 75; 3091968124; Carlos Diego Romero Reyes; 52; 36; 31/03/1993; 31/03/2029; 5; 1(A); A35; Alto; 1 Hora(s); Homicidio
PPL 76; 8852323299; Victor Pablo Guerrero Gomez; 47; 30; 31/11/1999; 31/11/2029; 5; 1(A); A36; Alto; 1 Hora(s); Narcotrafico
PPL 77; 5469334519; Gonzalo Antonio Cuenca Roman; 35; 17; 01/10/2011; 01/10/2028; 4; 1(A); A37; Alto; 1 Hora(s); Homicidio
PPL 78; 2783968015; Dario Antonio Cevallos Gomez; 41; 28; 06/01/2002; 06/01/2030; 6; 1(A); A38; Alto; 1 Hora(s); Homicidio
PPL 79; 1220356065; Fabian Antonio Gonzales Hidalgo; 49; 33; 25/08/1994; 25/08/2027; 3; 1(A); A39; Alto; 1 Hora(s); Homicidio
PPL 80; 6905574054; Mario Sergio Guerrero Reyes; 36; 27; 28/09/2010; 28/09/2037; 13; 1(A); A40; Alto; 1 Hora(s); Homicidio
