#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 3374583552; Victor Antonio Garcia Sanchez; 31; 18; 25/05/2020; 25/05/2038; 14; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 61; 2658729717; Gonzalo Cesar Cuenca Espinosa; 49; 35; 17/06/1994; 17/06/2029; 5; 1(A); A21; Alto; 1 Hora(s); Narcotrafico
PPL 62; 5165179348; Mario Antonio Paredes Sanchez; 44; 11; 11/08/2018; 11/08/2029; 5; 1(A); A22; Alto; 1 Hora(s); Homicidio
PPL 63; 8305194179; Roberto Julian Guerrero Morales; 25; 8; 01/06/2019; 01/06/2027; 3; 1(A); A23; Alto; 1 Hora(s); Homicidio
PPL 64; 7342479340; Dario Antonio Cuenca Espinosa; 64; 50; 26/10/1980; 26/10/2030; 6; 1(A); A24; Alto; 1 Hora(s); Homicidio
PPL 65; 3532451273; Roberto Diego Perero Hidalgo; 45; 6; 09/12/2020; 09/12/2026; 2; 1(A); A25; Alto; 1 Hora(s); Narcotrafico
PPL 66; 9703948295; Fabian Cesar Gonzales Rivera; 34; 26; 21/01/2011; 21/01/2037; 13; 1(A); A26; Alto; 1 Hora(s); Narcotrafico
PPL 67; 3812466357; Roberto Diego Torres Morales; 56; 43; 08/07/1987; 08/07/2030; 6; 1(A); A27; Alto; 1 Hora(s); Narcotrafico
PPL 68; 1821284008; Mario Adrian Romero Reyes; 47; 23; 30/11/2004; 30/11/2027; 3; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 69; 6217892173; Roberto Antonio Gonzales Ramirez; 55; 35; 14/02/1991; 14/02/2026; 2; 1(A); A29; Alto; 1 Hora(s); Homicidio
PPL 70; 5422032138; Fabian Antonio Torres Hidalgo; 38; 13; 23/10/2023; 23/10/2036; 12; 1(A); A30; Alto; 1 Hora(s); Homicidio
PPL 71; 8129946089; Roberto Diego Guerrero Morales; 28; 22; 03/09/2018; 03/09/2040; 16; 1(A); A31; Alto; 1 Hora(s); Homicidio
PPL 72; 6944722249; Roberto Diego Torres Reyes; 65; 48; 28/08/1980; 28/08/2028; 4; 1(A); A32; Alto; 1 Hora(s); Homicidio
PPL 73; 7231127214; Victor Pablo Paredes Morales; 32; 15; 23/03/2011; 23/03/2026; 2; 1(A); A33; Alto; 1 Hora(s); Narcotrafico
PPL 74; 3468384786; Pedro Adrian Romero Ramirez; 35; 9; 08/07/2016; 08/07/2025; 1; 1(A); A34; Alto; 1 Hora(s); Homicidio
PPL 75; 3091968124; Carlos Diego Romero Reyes; 52; 36; 31/03/1993; 31/03/2029; 5; 1(A); A35; Alto; 1 Hora(s); Homicidio
PPL 76; 8852323299; Victor Pablo Guerrero Gomez; 47; 30; 31/11/1999; 31/11/2029; 5; 1(A); A36; Alto; 1 Hora(s); Narcotrafico
PPL 77; 5469334519; Gonzalo Antonio Cuenca Roman; 35; 17; 01/10/2011; 01/10/2028; 4; 1(A); A37; Alto; 1 Hora(s); Homicidio
PPL 78; 2783968015; Dario Antonio Cevallos Gomez; 41; 28; 06/01/2002; 06/01/2030; 6; 1(A); A38; Alto; 1 Hora(s); Homicidio
PPL 79; 1220356065; Fabian Antonio Gonzales Hidalgo; 49; 33; 25/08/1994; 25/08/2027; 3; 1(A); A39; Alto; 1 Hora(s); Homicidio
PPL 80; 6905574054; Mario Sergio Guerrero Reyes; 36; 27; 28/09/2010; 28/09/2037; 13; 1(A); A40; Alto; 1 Hora(s); Homicidio
PPL 81; 1817322549; Roberto Adrian Torres Espinosa; 47; 32; 06/05/1998; 06/05/2030; 6; 2(B); B1; Medio; 2 Hora(s); Robo
PPL 82; 9439961406; Pedro Antonio Paredes Sanchez; 42; 23; 27/09/2018; 27/09/2041; 17; 2(B); B2; Medio; 2 Hora(s); Hurto
PPL 83; 2031559088; Pedro Pablo Gonzales Roman; 49; 30; 12/01/1996; 12/01/2026; 2; 2(B); B3; Medio; 2 Hora(s); Fraude
PPL 84; 8665864275; Victor Diego Romero Morales; 48; 34; 28/07/1995; 28/07/2029; 5; 2(B); B4; Medio; 2 Hora(s); Fraude
PPL 85; 8671468424; Mario Sergio Perero Espinosa; 45; 19; 08/10/2011; 08/10/2030; 6; 2(B); B5; Medio; 2 Hora(s); Evasion
PPL 86; 5926144311; Gonzalo Sergio Perero Sanchez; 57; 42; 15/11/1987; 15/11/2029; 5; 2(B); B6; Medio; 2 Hora(s); Robo
PPL 87; 2906783859; Dario Cesar Cuenca Ramirez; 29; 15; 18/08/2014; 18/08/2029; 5; 2(B); B7; Medio; 2 Hora(s); Robo
PPL 88; 8488933159; Gonzalo Adrian Torres Gomez; 49; 28; 01/05/1997; 01/05/2025; 1; 2(B); B8; Medio; 2 Hora(s); Hurto
PPL 89; 6061877143; Fabian Diego Torres Gomez; 46; 28; 20/11/1997; 20/11/2025; 1; 2(B); B9; Medio; 2 Hora(s); Robo
PPL 90; 1357138404; Roberto Julian Cevallos Ramirez; 49; 27; 16/11/2015; 16/11/2042; 18; 2(B); B10; Medio; 2 Hora(s); Hurto
PPL 91; 2333685149; Carlos Paulo Cuenca Morales; 26; 15; 04/10/2018; 04/10/2033; 9; 2(B); B11; Medio; 2 Hora(s); Fraude
PPL 92; 9745415089; Carlos Paulo Cuenca Sanchez; 30; 16; 15/10/2018; 15/10/2034; 10; 2(B); B12; Medio; 2 Hora(s); Fraude
PPL 93; 8565447373; Dario Julian Cevallos Reyes; 46; 29; 30/03/1997; 30/03/2026; 2; 2(B); B13; Medio; 2 Hora(s); Robo
PPL 94; 7484229777; Gonzalo Diego Garcia Hidalgo; 56; 36; 10/12/1990; 10/12/2026; 2; 2(B); B14; Medio; 2 Hora(s); Fraude
PPL 95; 7663470455; Pedro Pablo Paredes Reyes; 53; 36; 12/10/1993; 12/10/2029; 5; 2(B); B15; Medio; 2 Hora(s); Fraude
PPL 96; 8765776181; Roberto Sergio Garcia Morales; 26; 10; 15/10/2017; 15/10/2027; 3; 2(B); B16; Medio; 2 Hora(s); Evasion
PPL 97; 3989499447; Mario Adrian Romero Rivera; 55; 39; 12/05/1989; 12/05/2028; 4; 2(B); B17; Medio; 2 Hora(s); Robo
PPL 98; 3904493294; Carlos Diego Cevallos Sanchez; 33; 16; 11/12/2012; 11/12/2028; 4; 2(B); B18; Medio; 2 Hora(s); Evasion
PPL 99; 7714926125; Michael Adrian Cuenca Sanchez; 51; 34; 04/08/1994; 04/08/2028; 4; 2(B); B19; Medio; 2 Hora(s); Fraude
PPL 100; 5025274604; Pedro Angel Paredes Ramirez; 60; 44; 24/02/1984; 24/02/2028; 4; 2(B); B20; Medio; 2 Hora(s); Evasion
PPL 101; 4604974459; Mario Angel Garcia Ramirez; 44; 8; 29/08/2024; 29/08/2032; 8; 2(B); B21; Medio; 2 Hora(s); Fraude
PPL 102; 3154783195; Gonzalo Antonio Gonzales Sanchez; 40; 26; 20/12/2003; 20/12/2029; 5; 2(B); B22; Medio; 2 Hora(s); Fraude
PPL 103; 7967825765; Roberto Paulo Gonzales Sanchez; 46; 31; 17/02/1998; 17/02/2029; 5; 2(B); B23; Medio; 2 Hora(s); Evasion
PPL 104; 5222251655; Roberto Pablo Romero Roman; 30; 19; 19/08/2022; 19/08/2041; 17; 2(B); B24; Medio; 2 Hora(s); Robo
PPL 105; 3447967605; Fabian Adrian Torres Morales; 62; 42; 30/01/1984; 30/01/2026; 2; 2(B); B25; Medio; 2 Hora(s); Hurto
PPL 106; 4272078536; Carlos Sergio Paredes Roman; 52; 33; 02/04/1993; 02/04/2026; 2; 2(B); B26; Medio; 2 Hora(s); Hurto
PPL 107; 3080893298; Michael Adrian Torres Hidalgo; 63; 48; 02/04/1982; 02/04/2030; 6; 2(B); B27; Medio; 2 Hora(s); Fraude
PPL 108; 9178420684; Victor Cesar Paredes Espinosa; 54; 38; 28/02/1990; 28/02/2028; 4; 2(B); B28; Medio; 2 Hora(s); Evasion
PPL 109; 8888337756; Michael Angel Garcia Gomez; 40; 22; 27/06/2006; 27/06/2028; 4; 2(B); B29; Medio; 2 Hora(s); Fraude
PPL 110; 4073891489; Carlos Paulo Torres Morales; 45; 28; 01/05/2001; 01/05/2029; 5; 2(B); B30; Medio; 2 Hora(s); Evasion
PPL 111; 6999346263; Fabian Pablo Gonzales Sanchez; 27; 28; 05/01/2016; 05/01/2044; 20; 2(B); B31; Medio; 2 Hora(s); Fraude
PPL 112; 3782515810; Carlos Angel Gonzales Hidalgo; 33; 29; 11/06/2020; 11/06/2049; 25; 2(B); B32; Medio; 2 Hora(s); Robo
PPL 113; 8552281680; Gonzalo Julian Garcia Hidalgo; 27; 15; 15/07/2023; 15/07/2038; 14; 2(B); B33; Medio; 2 Hora(s); Fraude
PPL 114; 3407791936; Mario Cesar Paredes Morales; 45; 30; 21/07/1998; 21/07/2028; 4; 2(B); B34; Medio; 2 Hora(s); Fraude
PPL 115; 1876018017; Dario Pablo Torres Sanchez; 34; 24; 17/03/2009; 17/03/2033; 9; 2(B); B35; Medio; 2 Hora(s); Evasion
PPL 116; 2459523492; Gonzalo Antonio Guerrero Reyes; 38; 12; 16/11/2014; 16/11/2026; 2; 2(B); B36; Medio; 2 Hora(s); Hurto
PPL 117; 4261010455; Fabian Diego Perero Sanchez; 50; 10; 04/08/2023; 04/08/2033; 9; 2(B); B37; Medio; 2 Hora(s); Fraude
PPL 118; 1926772757; Roberto Antonio Gonzales Sanchez; 43; 28; 03/06/2001; 03/06/2029; 5; 2(B); B38; Medio; 2 Hora(s); Hurto
PPL 119; 2654337341; Roberto Diego Garcia Roman; 50; 33; 06/06/1996; 06/06/2029; 5; 2(B); B39; Medio; 2 Hora(s); Evasion
PPL 120; 7720473223; Mario Adrian Cevallos Sanchez; 53; 35; 25/09/1992; 25/09/2027; 3; 2(B); B40; Medio; 2 Hora(s); Fraude
PPL 121; 9620441742; Roberto Julian Cuenca Gomez; 42; 20; 28/04/2007; 28/04/2027; 3; 2(B); B41; Medio; 2 Hora(s); Hurto
PPL 122; 4233482972; Pedro Julian Romero Reyes; 26; 22; 16/10/2018; 16/10/2040; 16; 2(B); B42; Medio; 2 Hora(s); Evasion
PPL 123; 3930639871; Gonzalo Paulo Paredes Morales; 40; 23; 13/01/2005; 13/01/2028; 4; 2(B); B43; Medio; 2 Hora(s); Fraude
PPL 124; 1851565374; Roberto Diego Guerrero Rivera; 47; 30; 10/03/2007; 10/03/2037; 13; 2(B); B44; Medio; 2 Hora(s); Fraude
PPL 125; 3253029088; Mario Pablo Perero Ramirez; 42; 24; 24/05/2004; 24/05/2028; 4; 2(B); B45; Medio; 2 Hora(s); Fraude
PPL 126; 8427388287; Pedro Paulo Paredes Morales; 30; 28; 02/01/2014; 02/01/2042; 18; 2(B); B46; Medio; 2 Hora(s); Fraude
PPL 127; 1441986434; Roberto Paulo Romero Gomez; 42; 15; 03/06/2022; 03/06/2037; 13; 2(B); B47; Medio; 2 Hora(s); Fraude
PPL 128; 9984617907; Dario Julian Cuenca Ramirez; 35; 17; 01/03/2012; 01/03/2029; 5; 2(B); B48; Medio; 2 Hora(s); Evasion
PPL 129; 4118378099; Carlos Sergio Paredes Rivera; 54; 38; 26/08/1991; 26/08/2029; 5; 2(B); B49; Medio; 2 Hora(s); Robo
PPL 130; 4401381759; Gonzalo Adrian Torres Morales; 28; 27; 13/09/2015; 13/09/2042; 18; 2(B); B50; Medio; 2 Hora(s); Robo
PPL 131; 3460845316; Roberto Julian Paredes Espinosa; 45; 27; 14/09/1999; 14/09/2026; 2; 2(B); B51; Medio; 2 Hora(s); Hurto
PPL 132; 2726884724; Fabian Paulo Cuenca Sanchez; 37; 24; 08/08/2009; 08/08/2033; 9; 2(B); B52; Medio; 2 Hora(s); Robo
PPL 133; 5125115704; Mario Adrian Gonzales Sanchez; 35; 27; 08/09/2013; 08/09/2040; 16; 2(B); B53; Medio; 2 Hora(s); Robo
PPL 134; 2478278899; Pedro Cesar Romero Gomez; 43; 30; 01/06/2000; 01/06/2030; 6; 2(B); B54; Medio; 2 Hora(s); Robo
PPL 135; 3695990337; Fabian Paulo Perero Reyes; 59; 40; 28/04/1987; 28/04/2027; 3; 2(B); B55; Medio; 2 Hora(s); Evasion
PPL 136; 2453181318; Mario Adrian Cuenca Hidalgo; 35; 15; 22/01/2014; 22/01/2029; 5; 2(B); B56; Medio; 2 Hora(s); Robo
PPL 137; 8065066785; Dario Antonio Cevallos Hidalgo; 38; 20; 09/04/2006; 09/04/2026; 2; 2(B); B57; Medio; 2 Hora(s); Fraude
PPL 138; 7106414440; Fabian Antonio Torres Sanchez; 50; 20; 09/09/2006; 09/09/2026; 2; 2(B); B58; Medio; 2 Hora(s); Fraude
PPL 139; 6678655360; Gonzalo Antonio Cevallos Reyes; 43; 25; 14/03/2003; 14/03/2028; 4; 2(B); B59; Medio; 2 Hora(s); Hurto
PPL 140; 2760577968; Michael Antonio Perero Hidalgo; 40; 22; 30/05/2007; 30/05/2029; 5; 2(B); B60; Medio; 2 Hora(s); Evasion
PPL 141; 8700069251; Fabian Cesar Cevallos Espinosa; 56; 41; 04/02/1987; 04/02/2028; 4; 2(B); B61; Medio; 2 Hora(s); Fraude
PPL 142; 5760931072; Fabian Adrian Romero Sanchez; 30; 17; 17/02/2013; 17/02/2030; 6; 2(B); B62; Medio; 2 Hora(s); Evasion
PPL 143; 9656933303; Pedro Adrian Cevallos Roman; 61; 44; 28/09/1983; 28/09/2027; 3; 2(B); B63; Medio; 2 Hora(s); Fraude
PPL 144; 6622339173; Fabian Sergio Gonzales Gomez; 47; 27; 07/11/1999; 07/11/2026; 2; 2(B); B64; Medio; 2 Hora(s); Robo
PPL 145; 8344877384; Carlos Angel Paredes Hidalgo; 42; 23; 19/12/2006; 19/12/2029; 5; 2(B); B65; Medio; 2 Hora(s); Robo
PPL 146; 9407651104; Pedro Paulo Torres Gomez; 37; 17; 26/12/2012; 26/12/2029; 5; 2(B); B66; Medio; 2 Hora(s); Robo
PPL 147; 9453035021; Fabian Sergio Gonzales Espinosa; 57; 41; 13/09/1987; 13/09/2028; 4; 2(B); B67; Medio; 2 Hora(s); Evasion
PPL 148; 4480324511; Carlos Paulo Cevallos Reyes; 50; 27; 16/09/2001; 16/09/2028; 4; 2(B); B68; Medio; 2 Hora(s); Robo
PPL 149; 4393189993; Michael Pablo Paredes Rivera; 44; 20; 22/06/2006; 22/06/2026; 2; 2(B); B69; Medio; 2 Hora(s); Robo
PPL 150; 2935667401; Carlos Diego Cuenca Roman; 52; 36; 28/12/1994; 28/12/2030; 6; 2(B); B70; Medio; 2 Hora(s); Evasion
PPL 151; 5880459945; Fabian Angel Cevallos Sanchez; 62; 43; 04/03/1983; 04/03/2026; 2; 2(B); B71; Medio; 2 Hora(s); Evasion
PPL 152; 4093255891; Michael Pablo Paredes Sanchez; 45; 29; 19/04/2001; 19/04/2030; 6; 2(B); B72; Medio; 2 Hora(s); Fraude
PPL 153; 4593486321; Victor Paulo Guerrero Gomez; 31; 22; 22/05/2014; 22/05/2036; 12; 2(B); B73; Medio; 2 Hora(s); Evasion
PPL 154; 8605889638; Dario Sergio Perero Sanchez; 28; 23; 16/07/2019; 16/07/2042; 18; 2(B); B74; Medio; 2 Hora(s); Hurto
PPL 155; 2601360740; Victor Diego Torres Morales; 48; 29; 08/06/1998; 08/06/2027; 3; 2(B); B75; Medio; 2 Hora(s); Fraude
PPL 156; 9967840108; Michael Adrian Perero Sanchez; 31; 18; 21/06/2012; 21/06/2030; 6; 2(B); B76; Medio; 2 Hora(s); Robo
PPL 157; 4008443437; Carlos Cesar Cevallos Morales; 43; 30; 20/01/2000; 20/01/2030; 6; 2(B); B77; Medio; 2 Hora(s); Fraude
PPL 158; 8292155923; Dario Pablo Romero Rivera; 41; 18; 22/05/2013; 22/05/2031; 7; 2(B); B78; Medio; 2 Hora(s); Hurto
PPL 159; 8556827591; Roberto Pablo Perero Gomez; 25; 20; 27/06/2021; 27/06/2041; 17; 2(B); B79; Medio; 2 Hora(s); Evasion
PPL 160; 5623668051; Michael Paulo Paredes Morales; 36; 20; 31/04/2012; 31/04/2032; 8; 2(B); B80; Medio; 2 Hora(s); Evasion
PPL 161; 10009381878; Roberto Antonio Cevallos Hidalgo; 34; 14; 17/10/2011; 17/10/2025; 1; 2(B); B81; Medio; 2 Hora(s); Fraude
PPL 162; 4150842406; Roberto Angel Paredes Ramirez; 58; 43; 28/11/1985; 28/11/2028; 4; 2(B); B82; Medio; 2 Hora(s); Evasion
PPL 163; 9313279850; Roberto Julian Paredes Morales; 34; 23; 23/11/2011; 23/11/2034; 10; 2(B); B83; Medio; 2 Hora(s); Robo
PPL 164; 3205682890; Mario Adrian Perero Roman; 59; 41; 18/04/1987; 18/04/2028; 4; 2(B); B84; Medio; 2 Hora(s); Hurto
PPL 165; 4682597914; Carlos Angel Paredes Roman; 48; 32; 18/01/1995; 18/01/2027; 3; 2(B); B85; Medio; 2 Hora(s); Evasion
PPL 166; 4040044790; Michael Angel Torres Sanchez; 38; 27; 08/03/2007; 08/03/2034; 10; 2(B); B86; Medio; 2 Hora(s); Evasion
PPL 167; 6065124764; Mario Cesar Romero Gomez; 34; 19; 16/12/2011; 16/12/2030; 6; 2(B); B87; Medio; 2 Hora(s); Evasion
PPL 168; 1957794558; Dario Julian Cevallos Reyes; 45; 31; 19/06/1999; 19/06/2030; 6; 2(B); B88; Medio; 2 Hora(s); Hurto
PPL 169; 6587265388; Gonzalo Julian Gonzales Sanchez; 48; 8; 18/03/2020; 18/03/2028; 4; 2(B); B89; Medio; 2 Hora(s); Hurto
