#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 441; 1504172230; Roberto Julian Paredes Morales; 50; 35; 21/01/1993; 21/01/2028; 4; 4(D); D1; Bajo; 4 Hora(s); Otros
PPL 454; 3475444485; Michael Cesar Perero Morales; 32; 19; 23/02/2014; 23/02/2033; 9; 4(D); D14; Bajo; 4 Hora(s); Estafa
PPL 455; 3393783632; Mario Adrian Gonzales Sanchez; 53; 40; 24/01/1990; 24/01/2030; 6; 4(D); D15; Bajo; 4 Hora(s); Invasion
PPL 456; 5497086100; Pedro Paulo Paredes Reyes; 47; 29; 07/07/1997; 07/07/2026; 2; 4(D); D16; Bajo; 4 Hora(s); Invasion
PPL 457; 6957788879; Roberto Diego Paredes Ramirez; 58; 43; 07/04/1986; 07/04/2029; 5; 4(D); D17; Bajo; 4 Hora(s); Amenazas
PPL 458; 8414614821; Roberto Antonio Cevallos Ramirez; 53; 37; 11/07/1992; 11/07/2029; 5; 4(D); D18; Bajo; 4 Hora(s); Estafa
PPL 459; 6252775395; Dario Paulo Torres Gomez; 51; 35; 01/03/1992; 01/03/2027; 3; 4(D); D19; Bajo; 4 Hora(s); Amenazas
PPL 460; 6209756760; Roberto Paulo Cevallos Gomez; 46; 21; 12/04/2005; 12/04/2026; 2; 4(D); D20; Bajo; 4 Hora(s); Otros
PPL 461; 6785797326; Michael Paulo Perero Sanchez; 53; 40; 10/12/1990; 10/12/2030; 6; 4(D); D21; Bajo; 4 Hora(s); Invasion
PPL 462; 4985623566; Dario Antonio Torres Ramirez; 46; 29; 26/10/2000; 26/10/2029; 5; 4(D); D22; Bajo; 4 Hora(s); Invasion
PPL 463; 9572395404; Victor Antonio Cuenca Morales; 29; 14; 23/01/2016; 23/01/2030; 6; 4(D); D23; Bajo; 4 Hora(s); Estafa
PPL 464; 7472064782; Roberto Cesar Paredes Rivera; 63; 46; 28/02/1980; 28/02/2026; 2; 4(D); D24; Bajo; 4 Hora(s); Amenazas
PPL 465; 3096728889; Roberto Antonio Cuenca Hidalgo; 53; 38; 03/01/1991; 03/01/2029; 5; 4(D); D25; Bajo; 4 Hora(s); Invasion
PPL 466; 1929539724; Pedro Cesar Paredes Sanchez; 37; 9; 17/07/2019; 17/07/2028; 4; 4(D); D26; Bajo; 4 Hora(s); Otros
PPL 467; 7417774818; Dario Antonio Romero Gomez; 62; 44; 04/08/1983; 04/08/2027; 3; 4(D); D27; Bajo; 4 Hora(s); Otros
PPL 468; 2238043534; Carlos Angel Guerrero Rivera; 57; 40; 15/04/1988; 15/04/2028; 4; 4(D); D28; Bajo; 4 Hora(s); Otros
PPL 469; 6629735640; Roberto Diego Torres Ramirez; 44; 24; 22/06/2023; 22/06/2047; 23; 4(D); D29; Bajo; 4 Hora(s); Estafa
PPL 470; 7586020597; Mario Adrian Garcia Sanchez; 37; 7; 24/03/2020; 24/03/2027; 3; 4(D); D30; Bajo; 4 Hora(s); Estafa
PPL 471; 4317831069; Dario Antonio Garcia Roman; 34; 17; 20/11/2023; 20/11/2040; 16; 4(D); D31; Bajo; 4 Hora(s); Amenazas
PPL 472; 6836744242; Carlos Paulo Cevallos Rivera; 37; 29; 09/11/2008; 09/11/2037; 13; 4(D); D32; Bajo; 4 Hora(s); Amenazas
PPL 473; 4159799164; Pedro Adrian Gonzales Morales; 57; 42; 28/01/1986; 28/01/2028; 4; 4(D); D33; Bajo; 4 Hora(s); Invasion
PPL 474; 6380947823; Victor Antonio Gonzales Rivera; 53; 40; 01/09/1990; 01/09/2030; 6; 4(D); D34; Bajo; 4 Hora(s); Amenazas
PPL 475; 4199782939; Roberto Julian Gonzales Ramirez; 53; 40; 04/03/1990; 04/03/2030; 6; 4(D); D35; Bajo; 4 Hora(s); Otros
PPL 476; 6658292119; Michael Adrian Guerrero Roman; 41; 15; 17/12/2019; 17/12/2034; 10; 4(D); D36; Bajo; 4 Hora(s); Otros
PPL 477; 8286567402; Carlos Julian Cevallos Morales; 49; 35; 27/04/1994; 27/04/2029; 5; 4(D); D37; Bajo; 4 Hora(s); Amenazas
PPL 478; 8662296547; Victor Antonio Garcia Sanchez; 45; 29; 27/10/2000; 27/10/2029; 5; 4(D); D38; Bajo; 4 Hora(s); Invasion
PPL 479; 7217172815; Dario Sergio Perero Reyes; 43; 24; 16/07/2021; 16/07/2045; 21; 4(D); D39; Bajo; 4 Hora(s); Amenazas
PPL 480; 2097786881; Fabian Antonio Paredes Rivera; 55; 38; 26/12/1988; 26/12/2026; 2; 4(D); D40; Bajo; 4 Hora(s); Otros
PPL 481; 9406028093; Gonzalo Angel Garcia Gomez; 41; 29; 03/01/2002; 03/01/2031; 7; 4(D); D41; Bajo; 4 Hora(s); Amenazas
PPL 482; 3009140634; Gonzalo Antonio Guerrero Rivera; 23; 15; 13/12/2021; 13/12/2036; 12; 4(D); D42; Bajo; 4 Hora(s); Estafa
PPL 483; 1835735362; Roberto Paulo Romero Gomez; 36; 20; 18/03/2007; 18/03/2027; 3; 4(D); D43; Bajo; 4 Hora(s); Amenazas
PPL 484; 3024291536; Gonzalo Paulo Cuenca Ramirez; 30; 13; 30/10/2017; 30/10/2030; 6; 4(D); D44; Bajo; 4 Hora(s); Invasion
PPL 485; 7567816808; Victor Angel Paredes Sanchez; 28; 14; 20/11/2018; 20/11/2032; 8; 4(D); D45; Bajo; 4 Hora(s); Amenazas
PPL 486; 2796168845; Mario Angel Romero Morales; 48; 32; 07/03/1997; 07/03/2029; 5; 4(D); D46; Bajo; 4 Hora(s); Amenazas
PPL 487; 4865671354; Roberto Angel Romero Gomez; 23; 26; 21/08/2023; 21/08/2049; 25; 4(D); D47; Bajo; 4 Hora(s); Otros
PPL 488; 2502924289; Dario Antonio Romero Gomez; 41; 25; 20/04/2002; 20/04/2027; 3; 4(D); D48; Bajo; 4 Hora(s); Amenazas
PPL 489; 6840862288; Mario Julian Cuenca Morales; 63; 44; 22/12/1982; 22/12/2026; 2; 4(D); D49; Bajo; 4 Hora(s); Amenazas
PPL 490; 2621287585; Gonzalo Adrian Gonzales Reyes; 46; 30; 15/03/2000; 15/03/2030; 6; 4(D); D50; Bajo; 4 Hora(s); Otros
PPL 491; 61573100033; Mario Sergio Garcia Gomez; 60; 45; 09/05/1984; 09/05/2029; 5; 4(D); D51; Bajo; 4 Hora(s); Estafa
PPL 492; 7799243510; Dario Antonio Paredes Ramirez; 31; 12; 18/05/2023; 18/05/2035; 11; 4(D); D52; Bajo; 4 Hora(s); Otros
PPL 493; 1223662638; Mario Julian Gonzales Sanchez; 33; 15; 29/02/2011; 29/02/2026; 2; 4(D); D53; Bajo; 4 Hora(s); Amenazas
PPL 494; 4844242149; Gonzalo Antonio Romero Morales; 46; 23; 17/11/2014; 17/11/2037; 13; 4(D); D54; Bajo; 4 Hora(s); Estafa
PPL 495; 1296276019; Roberto Angel Paredes Morales; 47; 33; 07/12/1996; 07/12/2029; 5; 4(D); D55; Bajo; 4 Hora(s); Otros
PPL 496; 1712654967; Roberto Diego Romero Gomez; 46; 30; 29/11/1998; 29/11/2028; 4; 4(D); D56; Bajo; 4 Hora(s); Estafa
PPL 497; 1409389633; Roberto Julian Paredes Sanchez; 36; 18; 27/05/2007; 27/05/2025; 1; 4(D); D57; Bajo; 4 Hora(s); Invasion
PPL 498; 8431647433; Pedro Julian Romero Rivera; 41; 28; 08/09/2019; 08/09/2047; 23; 4(D); D58; Bajo; 4 Hora(s); Estafa
PPL 499; 9560017888; Carlos Cesar Romero Sanchez; 45; 32; 17/03/1998; 17/03/2030; 6; 4(D); D59; Bajo; 4 Hora(s); Estafa
PPL 500; 6877536697; Victor Angel Paredes Reyes; 30; 16; 13/10/2015; 13/10/2031; 7; 4(D); D60; Bajo; 4 Hora(s); Otros
PPL 501; 9804029015; Dario Paulo Guerrero Rivera; 46; 15; 10/07/2011; 10/07/2026; 2; 4(D); D61; Bajo; 4 Hora(s); Invasion
PPL 502; 7726652512; Mario Paulo Torres Hidalgo; 45; 29; 13/06/1998; 13/06/2027; 3; 4(D); D62; Bajo; 4 Hora(s); Estafa
PPL 503; 3684028958; Fabian Cesar Cuenca Morales; 64; 50; 12/07/1980; 12/07/2030; 6; 4(D); D63; Bajo; 4 Hora(s); Invasion
PPL 504; 4440816213; Fabian Antonio Cevallos Reyes; 52; 35; 30/03/1991; 30/03/2026; 2; 4(D); D64; Bajo; 4 Hora(s); Otros
PPL 505; 66230100131; Fabian Antonio Paredes Gomez; 46; 16; 11/07/2009; 11/07/2025; 1; 4(D); D65; Bajo; 4 Hora(s); Amenazas
PPL 506; 5967147472; Dario Pablo Paredes Rivera; 50; 23; 02/12/2006; 02/12/2029; 5; 4(D); D66; Bajo; 4 Hora(s); Invasion
PPL 507; 4599362876; Mario Adrian Paredes Ramirez; 47; 30; 20/09/2015; 20/09/2045; 21; 4(D); D67; Bajo; 4 Hora(s); Invasion
PPL 508; 1390488917; Gonzalo Diego Romero Reyes; 50; 11; 15/06/2019; 15/06/2030; 6; 4(D); D68; Bajo; 4 Hora(s); Otros
PPL 509; 3134336489; Mario Sergio Guerrero Gomez; 49; 34; 17/12/1996; 17/12/2030; 6; 4(D); D69; Bajo; 4 Hora(s); Otros
PPL 510; 5575241339; Gonzalo Adrian Gonzales Hidalgo; 48; 11; 06/02/2019; 06/02/2030; 6; 4(D); D70; Bajo; 4 Hora(s); Otros
PPL 511; 1890520001; Roberto Julian Paredes Espinosa; 53; 38; 01/01/1990; 01/01/2028; 4; 4(D); D71; Bajo; 4 Hora(s); Amenazas
PPL 512; 2450178281; Roberto Antonio Garcia Sanchez; 50; 36; 23/06/1993; 23/06/2029; 5; 4(D); D72; Bajo; 4 Hora(s); Otros
PPL 513; 4121547374; Roberto Sergio Paredes Gomez; 48; 19; 16/03/2023; 16/03/2042; 18; 4(D); D73; Bajo; 4 Hora(s); Invasion
PPL 514; 2564053607; Michael Cesar Gonzales Hidalgo; 35; 29; 04/11/2008; 04/11/2037; 13; 4(D); D74; Bajo; 4 Hora(s); Amenazas
PPL 515; 2691662321; Gonzalo Cesar Cevallos Hidalgo; 45; 26; 25/08/2000; 25/08/2026; 2; 4(D); D75; Bajo; 4 Hora(s); Invasion
PPL 516; 5117182661; Victor Adrian Garcia Rivera; 36; 19; 03/08/2011; 03/08/2030; 6; 4(D); D76; Bajo; 4 Hora(s); Otros
PPL 517; 3213235648; Mario Cesar Guerrero Reyes; 37; 16; 01/09/2014; 01/09/2030; 6; 4(D); D77; Bajo; 4 Hora(s); Amenazas
PPL 518; 5654523982; Pedro Julian Romero Sanchez; 66; 48; 16/03/1980; 16/03/2028; 4; 4(D); D78; Bajo; 4 Hora(s); Invasion
PPL 519; 9426266027; Gonzalo Antonio Cuenca Roman; 49; 30; 11/02/1996; 11/02/2026; 2; 4(D); D79; Bajo; 4 Hora(s); Amenazas
PPL 520; 3515722594; Mario Angel Romero Reyes; 49; 36; 06/03/1994; 06/03/2030; 6; 4(D); D80; Bajo; 4 Hora(s); Estafa
PPL 521; 1819156680; Pedro Angel Cuenca Sanchez; 46; 33; 02/03/1997; 02/03/2030; 6; 4(D); D81; Bajo; 4 Hora(s); Otros
PPL 522; 3828718007; Fabian Antonio Cevallos Hidalgo; 63; 49; 01/03/1981; 01/03/2030; 6; 4(D); D82; Bajo; 4 Hora(s); Amenazas
PPL 523; 8361536657; Mario Antonio Romero Sanchez; 33; 15; 12/06/2011; 12/06/2026; 2; 4(D); D83; Bajo; 4 Hora(s); Estafa
PPL 524; 7016919122; Victor Cesar Garcia Espinosa; 30; 13; 14/02/2015; 14/02/2028; 4; 4(D); D84; Bajo; 4 Hora(s); Amenazas
PPL 525; 8631470346; Fabian Paulo Romero Morales; 34; 19; 07/09/2011; 07/09/2030; 6; 4(D); D85; Bajo; 4 Hora(s); Otros
PPL 526; 6529547504; Dario Julian Cuenca Espinosa; 52; 35; 29/10/1991; 29/10/2026; 2; 4(D); D86; Bajo; 4 Hora(s); Otros
PPL 527; 8150490595; Carlos Adrian Gonzales Roman; 41; 8; 16/12/2017; 16/12/2025; 1; 4(D); D87; Bajo; 4 Hora(s); Invasion
PPL 528; 9742732344; Roberto Sergio Cuenca Roman; 44; 24; 06/05/2022; 06/05/2046; 22; 4(D); D88; Bajo; 4 Hora(s); Otros
PPL 529; 5926233849; Dario Antonio Romero Ramirez; 56; 39; 15/07/1987; 15/07/2026; 2; 4(D); D89; Bajo; 4 Hora(s); Otros
PPL 530; 3648818662; Pedro Antonio Perero Rivera; 27; 8; 29/06/2023; 29/06/2031; 7; 4(D); D90; Bajo; 4 Hora(s); Estafa
PPL 531; 7603670833; Gonzalo Julian Cuenca Morales; 39; 22; 10/07/2004; 10/07/2026; 2; 4(D); D1; Bajo; 4 Hora(s); Estafa
PPL 532; 2498895186; Roberto Adrian Romero Roman; 25; 29; 19/08/2019; 19/08/2048; 24; 4(D); D2; Bajo; 4 Hora(s); Amenazas
PPL 533; 6312354165; Mario Julian Cevallos Sanchez; 40; 21; 03/05/2005; 03/05/2026; 2; 4(D); D3; Bajo; 4 Hora(s); Amenazas
PPL 534; 1046572778; Mario Adrian Perero Gomez; 42; 21; 17/06/2013; 17/06/2034; 10; 4(D); D4; Bajo; 4 Hora(s); Otros
PPL 535; 8451158796; Victor Angel Garcia Morales; 32; 26; 08/11/2013; 08/11/2039; 15; 4(D); D5; Bajo; 4 Hora(s); Estafa
PPL 536; 3802967145; Mario Antonio Paredes Morales; 40; 29; 27/05/2015; 27/05/2044; 20; 4(D); D6; Bajo; 4 Hora(s); Invasion
PPL 537; 1453471109; Victor Cesar Romero Rivera; 54; 34; 10/11/1992; 10/11/2026; 2; 4(D); D7; Bajo; 4 Hora(s); Amenazas
PPL 538; 1270575485; Carlos Antonio Romero Sanchez; 41; 25; 15/06/2003; 15/06/2028; 4; 4(D); D8; Bajo; 4 Hora(s); Invasion
PPL 539; 1892993154; Roberto Angel Gonzales Gomez; 48; 23; 30/07/2022; 30/07/2045; 21; 4(D); D9; Bajo; 4 Hora(s); Amenazas
PPL 540; 7832317734; Mario Adrian Torres Sanchez; 50; 27; 01/06/2003; 01/06/2030; 6; 4(D); D10; Bajo; 4 Hora(s); Invasion
PPL 541; 2997296288; Pedro Paulo Romero Roman; 30; 20; 03/05/2016; 03/05/2036; 12; 4(D); D11; Bajo; 4 Hora(s); Estafa
PPL 542; 8632296266; Mario Diego Guerrero Hidalgo; 55; 39; 20/10/1989; 20/10/2028; 4; 4(D); D12; Bajo; 4 Hora(s); Invasion
PPL 543; 4151542056; Roberto Cesar Perero Rivera; 55; 39; 28/02/1991; 28/02/2030; 6; 4(D); D13; Bajo; 4 Hora(s); Otros
PPL 544; 1656229253; Roberto Sergio Guerrero Rivera; 57; 40; 01/02/1986; 01/02/2026; 2; 4(D); D14; Bajo; 4 Hora(s); Invasion
PPL 545; 8773973471; Pedro Sergio Paredes Sanchez; 51; 35; 23/04/1992; 23/04/2027; 3; 4(D); D15; Bajo; 4 Hora(s); Estafa
PPL 546; 4894848421; Roberto Angel Romero Rivera; 49; 25; 12/01/2005; 12/01/2030; 6; 4(D); D16; Bajo; 4 Hora(s); Estafa
PPL 547; 2248257113; Carlos Cesar Paredes Gomez; 52; 38; 10/06/1991; 10/06/2029; 5; 4(D); D17; Bajo; 4 Hora(s); Invasion
PPL 548; 8143433034; Mario Antonio Paredes Espinosa; 42; 25; 07/11/2003; 07/11/2028; 4; 4(D); D18; Bajo; 4 Hora(s); Amenazas
PPL 549; 8899370308; Mario Cesar Cevallos Ramirez; 34; 22; 28/05/2012; 28/05/2034; 10; 4(D); D19; Bajo; 4 Hora(s); Otros
PPL 550; 6263815927; Mario Julian Garcia Rivera; 60; 42; 10/11/1985; 10/11/2027; 3; 4(D); D20; Bajo; 4 Hora(s); Otros
PPL 551; 6856077754; Roberto Diego Romero Reyes; 63; 48; 30/01/1980; 30/01/2028; 4; 4(D); D21; Bajo; 4 Hora(s); Estafa
PPL 552; 5069345573; Victor Adrian Paredes Rivera; 57; 39; 19/08/1987; 19/08/2026; 2; 4(D); D22; Bajo; 4 Hora(s); Invasion
PPL 553; 4505292165; Michael Diego Paredes Rivera; 40; 20; 10/04/2006; 10/04/2026; 2; 4(D); D23; Bajo; 4 Hora(s); Invasion
PPL 554; 8279723024; Michael Sergio Cevallos Hidalgo; 49; 24; 06/07/2004; 06/07/2028; 4; 4(D); D24; Bajo; 4 Hora(s); Invasion
PPL 555; 5872930664; Mario Paulo Gonzales Sanchez; 50; 18; 07/11/2013; 07/11/2031; 7; 4(D); D25; Bajo; 4 Hora(s); Otros
PPL 556; 5684122122; Fabian Antonio Cuenca Ramirez; 41; 28; 28/03/2002; 28/03/2030; 6; 4(D); D26; Bajo; 4 Hora(s); Estafa
PPL 557; 5061792853; Roberto Cesar Perero Rivera; 30; 23; 31/06/2022; 31/06/2045; 21; 4(D); D27; Bajo; 4 Hora(s); Amenazas
PPL 558; 5889397211; Mario Cesar Cuenca Reyes; 47; 9; 03/05/2019; 03/05/2028; 4; 4(D); D28; Bajo; 4 Hora(s); Otros
PPL 559; 2053748896; Carlos Paulo Paredes Sanchez; 40; 22; 09/08/2006; 09/08/2028; 4; 4(D); D29; Bajo; 4 Hora(s); Otros
PPL 560; 2599299604; Pedro Antonio Paredes Sanchez; 42; 20; 15/12/2016; 15/12/2036; 12; 4(D); D30; Bajo; 4 Hora(s); Invasion
PPL 561; 8551558697; Fabian Pablo Guerrero Sanchez; 46; 30; 30/06/1998; 30/06/2028; 4; 4(D); D31; Bajo; 4 Hora(s); Invasion
PPL 562; 7922157225; Victor Paulo Cevallos Hidalgo; 56; 37; 03/05/1990; 03/05/2027; 3; 4(D); D32; Bajo; 4 Hora(s); Invasion
PPL 563; 4930257766; Gonzalo Diego Cuenca Sanchez; 62; 46; 17/12/1983; 17/12/2029; 5; 4(D); D33; Bajo; 4 Hora(s); Invasion
PPL 564; 1686840975; Pedro Sergio Cuenca Sanchez; 42; 25; 19/08/2005; 19/08/2030; 6; 4(D); D34; Bajo; 4 Hora(s); Otros
PPL 565; 7047164939; Michael Angel Paredes Morales; 62; 46; 12/07/1984; 12/07/2030; 6; 4(D); D35; Bajo; 4 Hora(s); Estafa
PPL 566; 3488511865; Gonzalo Pablo Garcia Ramirez; 37; 23; 20/02/2007; 20/02/2030; 6; 4(D); D36; Bajo; 4 Hora(s); Estafa
PPL 567; 2680679413; Dario Antonio Paredes Espinosa; 52; 36; 27/08/1991; 27/08/2027; 3; 4(D); D37; Bajo; 4 Hora(s); Estafa
PPL 568; 5526849473; Mario Julian Cuenca Hidalgo; 46; 28; 31/05/2000; 31/05/2028; 4; 4(D); D38; Bajo; 4 Hora(s); Estafa
PPL 569; 8434745784; Roberto Angel Perero Ramirez; 54; 40; 05/02/1989; 05/02/2029; 5; 4(D); D39; Bajo; 4 Hora(s); Otros
PPL 570; 2255855155; Dario Paulo Guerrero Hidalgo; 47; 13; 07/12/2013; 07/12/2026; 2; 4(D); D40; Bajo; 4 Hora(s); Amenazas
PPL 571; 4926817475; Gonzalo Diego Paredes Ramirez; 47; 30; 27/12/1996; 27/12/2026; 2; 4(D); D41; Bajo; 4 Hora(s); Estafa
PPL 572; 6410897986; Pedro Cesar Garcia Hidalgo; 31; 12; 17/04/2014; 17/04/2026; 2; 4(D); D42; Bajo; 4 Hora(s); Amenazas
PPL 573; 4209833041; Carlos Cesar Romero Sanchez; 43; 28; 03/05/2002; 03/05/2030; 6; 4(D); D43; Bajo; 4 Hora(s); Amenazas
PPL 574; 2502498650; Fabian Paulo Paredes Rivera; 34; 19; 10/03/2009; 10/03/2028; 4; 4(D); D44; Bajo; 4 Hora(s); Otros
PPL 575; 6421048505; Michael Cesar Perero Hidalgo; 58; 39; 04/12/1988; 04/12/2027; 3; 4(D); D45; Bajo; 4 Hora(s); Amenazas
PPL 576; 6111977135; Dario Angel Garcia Espinosa; 46; 30; 06/03/2000; 06/03/2030; 6; 4(D); D46; Bajo; 4 Hora(s); Amenazas
PPL 577; 4735019007; Victor Paulo Paredes Roman; 62; 49; 06/06/1981; 06/06/2030; 6; 4(D); D47; Bajo; 4 Hora(s); Amenazas
PPL 578; 4398883382; Dario Diego Torres Espinosa; 39; 8; 04/10/2024; 04/10/2032; 8; 4(D); D48; Bajo; 4 Hora(s); Amenazas
PPL 579; 3148866226; Roberto Pablo Guerrero Morales; 52; 36; 03/05/1994; 03/05/2030; 6; 4(D); D49; Bajo; 4 Hora(s); Invasion
PPL 580; 9804824709; Fabian Julian Perero Gomez; 52; 37; 29/02/1993; 29/02/2030; 6; 4(D); D50; Bajo; 4 Hora(s); Otros
PPL 581; 4308963402; Dario Sergio Guerrero Roman; 32; 25; 20/09/2014; 20/09/2039; 15; 4(D); D51; Bajo; 4 Hora(s); Amenazas
PPL 582; 8015325548; Dario Paulo Torres Reyes; 42; 13; 30/09/2015; 30/09/2028; 4; 4(D); D52; Bajo; 4 Hora(s); Invasion
PPL 583; 5414371112; Pedro Julian Paredes Sanchez; 49; 6; 24/12/2023; 24/12/2029; 5; 4(D); D53; Bajo; 4 Hora(s); Otros
PPL 584; 6839682028; Roberto Sergio Guerrero Rivera; 40; 6; 18/11/2022; 18/11/2028; 4; 4(D); D54; Bajo; 4 Hora(s); Invasion
PPL 585; 1942025243; Gonzalo Pablo Romero Espinosa; 56; 40; 23/08/1990; 23/08/2030; 6; 4(D); D55; Bajo; 4 Hora(s); Amenazas
PPL 586; 9885693401; Mario Angel Romero Sanchez; 36; 23; 12/09/2017; 12/09/2040; 16; 4(D); D56; Bajo; 4 Hora(s); Otros
PPL 587; 3737186538; Roberto Antonio Romero Sanchez; 41; 19; 05/08/2010; 05/08/2029; 5; 4(D); D57; Bajo; 4 Hora(s); Estafa
PPL 588; 7391125538; Mario Antonio Cevallos Sanchez; 40; 19; 18/10/2024; 18/10/2043; 19; 4(D); D58; Bajo; 4 Hora(s); Estafa
PPL 589; 7764735037; Mario Adrian Guerrero Hidalgo; 43; 21; 19/02/2010; 19/02/2031; 7; 4(D); D59; Bajo; 4 Hora(s); Amenazas
PPL 590; 5204234295; Carlos Antonio Garcia Sanchez; 29; 14; 11/04/2015; 11/04/2029; 5; 4(D); D60; Bajo; 4 Hora(s); Otros
PPL 591; 7824997428; Fabian Pablo Paredes Sanchez; 39; 25; 05/06/2004; 05/06/2029; 5; 4(D); D61; Bajo; 4 Hora(s); Estafa
PPL 592; 8029246506; Fabian Angel Guerrero Roman; 53; 37; 14/10/1990; 14/10/2027; 3; 4(D); D62; Bajo; 4 Hora(s); Estafa
PPL 593; 3284052013; Pedro Adrian Gonzales Sanchez; 64; 46; 20/04/1980; 20/04/2026; 2; 4(D); D63; Bajo; 4 Hora(s); Amenazas
PPL 594; 4980586522; Mario Julian Paredes Morales; 62; 45; 22/08/1981; 22/08/2026; 2; 4(D); D64; Bajo; 4 Hora(s); Invasion
PPL 595; 1825279312; Pedro Antonio Paredes Morales; 37; 20; 01/11/2006; 01/11/2026; 2; 4(D); D65; Bajo; 4 Hora(s); Estafa
PPL 596; 4787259225; Roberto Cesar Romero Rivera; 33; 19; 02/05/2010; 02/05/2029; 5; 4(D); D66; Bajo; 4 Hora(s); Invasion
PPL 597; 6165827206; Mario Angel Gonzales Ramirez; 55; 35; 26/10/1991; 26/10/2026; 2; 4(D); D67; Bajo; 4 Hora(s); Otros
PPL 598; 7652136899; Pedro Cesar Guerrero Roman; 25; 10; 02/06/2018; 02/06/2028; 4; 4(D); D68; Bajo; 4 Hora(s); Estafa
PPL 599; 3695128044; Roberto Pablo Garcia Espinosa; 53; 37; 17/02/1992; 17/02/2029; 5; 4(D); D69; Bajo; 4 Hora(s); Amenazas
PPL 600; 3362566546; Roberto Angel Perero Gomez; 54; 35; 05/02/1991; 05/02/2026; 2; 4(D); D70; Bajo; 4 Hora(s); Otros
PPL 601; 5028353316; Roberto Cesar Perero Gomez; 54; 37; 19/09/1989; 19/09/2026; 2; 4(D); D71; Bajo; 4 Hora(s); Otros
PPL 602; 2056345418; Gonzalo Antonio Perero Roman; 44; 30; 02/01/2000; 02/01/2030; 6; 4(D); D72; Bajo; 4 Hora(s); Otros
PPL 603; 4316113073; Carlos Sergio Perero Ramirez; 37; 18; 01/06/2010; 01/06/2028; 4; 4(D); D73; Bajo; 4 Hora(s); Otros
PPL 604; 5366779537; Victor Paulo Cuenca Roman; 54; 40; 31/04/1989; 31/04/2029; 5; 4(D); D74; Bajo; 4 Hora(s); Estafa
PPL 605; 9530784958; Mario Paulo Paredes Hidalgo; 49; 21; 27/12/2007; 27/12/2028; 4; 4(D); D75; Bajo; 4 Hora(s); Amenazas
PPL 606; 8837433072; Victor Sergio Torres Reyes; 49; 16; 01/10/2012; 01/10/2028; 4; 4(D); D76; Bajo; 4 Hora(s); Invasion
PPL 607; 5730829345; Victor Adrian Garcia Roman; 58; 40; 11/08/1987; 11/08/2027; 3; 4(D); D77; Bajo; 4 Hora(s); Amenazas
PPL 608; 5856492795; Pedro Adrian Romero Sanchez; 42; 24; 17/09/2002; 17/09/2026; 2; 4(D); D78; Bajo; 4 Hora(s); Amenazas
PPL 609; 3769296879; Dario Antonio Garcia Morales; 30; 11; 22/02/2017; 22/02/2028; 4; 4(D); D79; Bajo; 4 Hora(s); Invasion
