#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 81; 1817322549; Roberto Adrian Torres Espinosa; 47; 32; 06/05/1998; 06/05/2030; 6; 2(B); B1; Medio; 2 Hora(s); Robo
PPL 93; 8565447373; Dario Julian Cevallos Reyes; 46; 29; 30/03/1997; 30/03/2026; 2; 2(B); B13; Medio; 2 Hora(s); Robo
PPL 94; 7484229777; Gonzalo Diego Garcia Hidalgo; 56; 36; 10/12/1990; 10/12/2026; 2; 2(B); B14; Medio; 2 Hora(s); Fraude
PPL 95; 7663470455; Pedro Pablo Paredes Reyes; 53; 36; 12/10/1993; 12/10/2029; 5; 2(B); B15; Medio; 2 Hora(s); Fraude
PPL 96; 8765776181; Roberto Sergio Garcia Morales; 26; 10; 15/10/2017; 15/10/2027; 3; 2(B); B16; Medio; 2 Hora(s); Evasion
PPL 97; 3989499447; Mario Adrian Romero Rivera; 55; 39; 12/05/1989; 12/05/2028; 4; 2(B); B17; Medio; 2 Hora(s); Robo
PPL 98; 3904493294; Carlos Diego Cevallos Sanchez; 33; 16; 11/12/2012; 11/12/2028; 4; 2(B); B18; Medio; 2 Hora(s); Evasion
PPL 99; 7714926125; Michael Adrian Cuenca Sanchez; 51; 34; 04/08/1994; 04/08/2028; 4; 2(B); B19; Medio; 2 Hora(s); Fraude
PPL 100; 5025274604; Pedro Angel Paredes Ramirez; 60; 44; 24/02/1984; 24/02/2028; 4; 2(B); B20; Medio; 2 Hora(s); Evasion
PPL 101; 4604974459; Mario Angel Garcia Ramirez; 44; 8; 29/08/2024; 29/08/2032; 8; 2(B); B21; Medio; 2 Hora(s); Fraude
PPL 102; 3154783195; Gonzalo Antonio Gonzales Sanchez; 40; 26; 20/12/2003; 20/12/2029; 5; 2(B); B22; Medio; 2 Hora(s); Fraude
PPL 103; 7967825765; Roberto Paulo Gonzales Sanchez; 46; 31; 17/02/1998; 17/02/2029; 5; 2(B); B23; Medio; 2 Hora(s); Evasion
PPL 104; 5222251655; Roberto Pablo Romero Roman; 30; 19; 19/08/2022; 19/08/2041; 17; 2(B); B24; Medio; 2 Hora(s); Robo
PPL 105; 3447967605; Fabian Adrian Torres Morales; 62; 42; 30/01/1984; 30/01/2026; 2; 2(B); B25; Medio; 2 Hora(s); Hurto
PPL 106; 4272078536; Carlos Sergio Paredes Roman; 52; 33; 02/04/1993; 02/04/2026; 2; 2(B); B26; Medio; 2 Hora(s); Hurto
PPL 107; 3080893298; Michael Adrian Torres Hidalgo; 63; 48; 02/04/1982; 02/04/2030; 6; 2(B); B27; Medio; 2 Hora(s); Fraude
PPL 108; 9178420684; Victor Cesar Paredes Espinosa; 54; 38; 28/02/1990; 28/02/2028; 4; 2(B); B28; Medio; 2 Hora(s); Evasion
PPL 109; 8888337756; Michael Angel Garcia Gomez; 40; 22; 27/06/2006; 27/06/2028; 4; 2(B); B29; Medio; 2 Hora(s); Fraude
PPL 110; 4073891489; Carlos Paulo Torres Morales; 45; 28; 01/05/2001; 01/05/2029; 5; 2(B); B30; Medio; 2 Hora(s); Evasion
PPL 111; 6999346263; Fabian Pablo Gonzales Sanchez; 27; 28; 05/01/2016; 05/01/2044; 20; 2(B); B31; Medio; 2 Hora(s); Fraude
PPL 112; 3782515810; Carlos Angel Gonzales Hidalgo; 33; 29; 11/06/2020; 11/06/2049; 25; 2(B); B32; Medio; 2 Hora(s); Robo
PPL 113; 8552281680; Gonzalo Julian Garcia Hidalgo; 27; 15; 15/07/2023; 15/07/2038; 14; 2(B); B33; Medio; 2 Hora(s); Fraude
PPL 114; 3407791936; Mario Cesar Paredes Morales; 45; 30; 21/07/1998; 21/07/2028; 4; 2(B); B34; Medio; 2 Hora(s); Fraude
PPL 115; 1876018017; Dario Pablo Torres Sanchez; 34; 24; 17/03/2009; 17/03/2033; 9; 2(B); B35; Medio; 2 Hora(s); Evasion
PPL 116; 2459523492; Gonzalo Antonio Guerrero Reyes; 38; 12; 16/11/2014; 16/11/2026; 2; 2(B); B36; Medio; 2 Hora(s); Hurto
PPL 117; 4261010455; Fabian Diego Perero Sanchez; 50; 10; 04/08/2023; 04/08/2033; 9; 2(B); B37; Medio; 2 Hora(s); Fraude
PPL 118; 1926772757; Roberto Antonio Gonzales Sanchez; 43; 28; 03/06/2001; 03/06/2029; 5; 2(B); B38; Medio; 2 Hora(s); Hurto
PPL 119; 2654337341; Roberto Diego Garcia Roman; 50; 33; 06/06/1996; 06/06/2029; 5; 2(B); B39; Medio; 2 Hora(s); Evasion
PPL 120; 7720473223; Mario Adrian Cevallos Sanchez; 53; 35; 25/09/1992; 25/09/2027; 3; 2(B); B40; Medio; 2 Hora(s); Fraude
PPL 121; 9620441742; Roberto Julian Cuenca Gomez; 42; 20; 28/04/2007; 28/04/2027; 3; 2(B); B41; Medio; 2 Hora(s); Hurto
PPL 122; 4233482972; Pedro Julian Romero Reyes; 26; 22; 16/10/2018; 16/10/2040; 16; 2(B); B42; Medio; 2 Hora(s); Evasion
PPL 123; 3930639871; Gonzalo Paulo Paredes Morales; 40; 23; 13/01/2005; 13/01/2028; 4; 2(B); B43; Medio; 2 Hora(s); Fraude
PPL 124; 1851565374; Roberto Diego Guerrero Rivera; 47; 30; 10/03/2007; 10/03/2037; 13; 2(B); B44; Medio; 2 Hora(s); Fraude
PPL 125; 3253029088; Mario Pablo Perero Ramirez; 42; 24; 24/05/2004; 24/05/2028; 4; 2(B); B45; Medio; 2 Hora(s); Fraude
PPL 126; 8427388287; Pedro Paulo Paredes Morales; 30; 28; 02/01/2014; 02/01/2042; 18; 2(B); B46; Medio; 2 Hora(s); Fraude
PPL 127; 1441986434; Roberto Paulo Romero Gomez; 42; 15; 03/06/2022; 03/06/2037; 13; 2(B); B47; Medio; 2 Hora(s); Fraude
PPL 128; 9984617907; Dario Julian Cuenca Ramirez; 35; 17; 01/03/2012; 01/03/2029; 5; 2(B); B48; Medio; 2 Hora(s); Evasion
PPL 129; 4118378099; Carlos Sergio Paredes Rivera; 54; 38; 26/08/1991; 26/08/2029; 5; 2(B); B49; Medio; 2 Hora(s); Robo
PPL 130; 4401381759; Gonzalo Adrian Torres Morales; 28; 27; 13/09/2015; 13/09/2042; 18; 2(B); B50; Medio; 2 Hora(s); Robo
PPL 131; 3460845316; Roberto Julian Paredes Espinosa; 45; 27; 14/09/1999; 14/09/2026; 2; 2(B); B51; Medio; 2 Hora(s); Hurto
PPL 132; 2726884724; Fabian Paulo Cuenca Sanchez; 37; 24; 08/08/2009; 08/08/2033; 9; 2(B); B52; Medio; 2 Hora(s); Robo
PPL 133; 5125115704; Mario Adrian Gonzales Sanchez; 35; 27; 08/09/2013; 08/09/2040; 16; 2(B); B53; Medio; 2 Hora(s); Robo
PPL 134; 2478278899; Pedro Cesar Romero Gomez; 43; 30; 01/06/2000; 01/06/2030; 6; 2(B); B54; Medio; 2 Hora(s); Robo
PPL 135; 3695990337; Fabian Paulo Perero Reyes; 59; 40; 28/04/1987; 28/04/2027; 3; 2(B); B55; Medio; 2 Hora(s); Evasion
PPL 136; 2453181318; Mario Adrian Cuenca Hidalgo; 35; 15; 22/01/2014; 22/01/2029; 5; 2(B); B56; Medio; 2 Hora(s); Robo
PPL 137; 8065066785; Dario Antonio Cevallos Hidalgo; 38; 20; 09/04/2006; 09/04/2026; 2; 2(B); B57; Medio; 2 Hora(s); Fraude
PPL 138; 7106414440; Fabian Antonio Torres Sanchez; 50; 20; 09/09/2006; 09/09/2026; 2; 2(B); B58; Medio; 2 Hora(s); Fraude
PPL 139; 6678655360; Gonzalo Antonio Cevallos Reyes; 43; 25; 14/03/2003; 14/03/2028; 4; 2(B); B59; Medio; 2 Hora(s); Hurto
PPL 140; 2760577968; Michael Antonio Perero Hidalgo; 40; 22; 30/05/2007; 30/05/2029; 5; 2(B); B60; Medio; 2 Hora(s); Evasion
PPL 141; 8700069251; Fabian Cesar Cevallos Espinosa; 56; 41; 04/02/1987; 04/02/2028; 4; 2(B); B61; Medio; 2 Hora(s); Fraude
PPL 142; 5760931072; Fabian Adrian Romero Sanchez; 30; 17; 17/02/2013; 17/02/2030; 6; 2(B); B62; Medio; 2 Hora(s); Evasion
PPL 143; 9656933303; Pedro Adrian Cevallos Roman; 61; 44; 28/09/1983; 28/09/2027; 3; 2(B); B63; Medio; 2 Hora(s); Fraude
PPL 144; 6622339173; Fabian Sergio Gonzales Gomez; 47; 27; 07/11/1999; 07/11/2026; 2; 2(B); B64; Medio; 2 Hora(s); Robo
PPL 145; 8344877384; Carlos Angel Paredes Hidalgo; 42; 23; 19/12/2006; 19/12/2029; 5; 2(B); B65; Medio; 2 Hora(s); Robo
PPL 146; 9407651104; Pedro Paulo Torres Gomez; 37; 17; 26/12/2012; 26/12/2029; 5; 2(B); B66; Medio; 2 Hora(s); Robo
PPL 147; 9453035021; Fabian Sergio Gonzales Espinosa; 57; 41; 13/09/1987; 13/09/2028; 4; 2(B); B67; Medio; 2 Hora(s); Evasion
PPL 148; 4480324511; Carlos Paulo Cevallos Reyes; 50; 27; 16/09/2001; 16/09/2028; 4; 2(B); B68; Medio; 2 Hora(s); Robo
PPL 149; 4393189993; Michael Pablo Paredes Rivera; 44; 20; 22/06/2006; 22/06/2026; 2; 2(B); B69; Medio; 2 Hora(s); Robo
PPL 150; 2935667401; Carlos Diego Cuenca Roman; 52; 36; 28/12/1994; 28/12/2030; 6; 2(B); B70; Medio; 2 Hora(s); Evasion
PPL 151; 5880459945; Fabian Angel Cevallos Sanchez; 62; 43; 04/03/1983; 04/03/2026; 2; 2(B); B71; Medio; 2 Hora(s); Evasion
PPL 152; 4093255891; Michael Pablo Paredes Sanchez; 45; 29; 19/04/2001; 19/04/2030; 6; 2(B); B72; Medio; 2 Hora(s); Fraude
PPL 153; 4593486321; Victor Paulo Guerrero Gomez; 31; 22; 22/05/2014; 22/05/2036; 12; 2(B); B73; Medio; 2 Hora(s); Evasion
PPL 154; 8605889638; Dario Sergio Perero Sanchez; 28; 23; 16/07/2019; 16/07/2042; 18; 2(B); B74; Medio; 2 Hora(s); Hurto
PPL 155; 2601360740; Victor Diego Torres Morales; 48; 29; 08/06/1998; 08/06/2027; 3; 2(B); B75; Medio; 2 Hora(s); Fraude
PPL 156; 9967840108; Michael Adrian Perero Sanchez; 31; 18; 21/06/2012; 21/06/2030; 6; 2(B); B76; Medio; 2 Hora(s); Robo
PPL 157; 4008443437; Carlos Cesar Cevallos Morales; 43; 30; 20/01/2000; 20/01/2030; 6; 2(B); B77; Medio; 2 Hora(s); Fraude
PPL 158; 8292155923; Dario Pablo Romero Rivera; 41; 18; 22/05/2013; 22/05/2031; 7; 2(B); B78; Medio; 2 Hora(s); Hurto
PPL 159; 8556827591; Roberto Pablo Perero Gomez; 25; 20; 27/06/2021; 27/06/2041; 17; 2(B); B79; Medio; 2 Hora(s); Evasion
PPL 160; 5623668051; Michael Paulo Paredes Morales; 36; 20; 31/04/2012; 31/04/2032; 8; 2(B); B80; Medio; 2 Hora(s); Evasion
PPL 161; 10009381878; Roberto Antonio Cevallos Hidalgo; 34; 14; 17/10/2011; 17/10/2025; 1; 2(B); B81; Medio; 2 Hora(s); Fraude
PPL 162; 4150842406; Roberto Angel Paredes Ramirez; 58; 43; 28/11/1985; 28/11/2028; 4; 2(B); B82; Medio; 2 Hora(s); Evasion
PPL 163; 9313279850; Roberto Julian Paredes Morales; 34; 23; 23/11/2011; 23/11/2034; 10; 2(B); B83; Medio; 2 Hora(s); Robo
PPL 164; 3205682890; Mario Adrian Perero Roman; 59; 41; 18/04/1987; 18/04/2028; 4; 2(B); B84; Medio; 2 Hora(s); Hurto
PPL 165; 4682597914; Carlos Angel Paredes Roman; 48; 32; 18/01/1995; 18/01/2027; 3; 2(B); B85; Medio; 2 Hora(s); Evasion
PPL 166; 4040044790; Michael Angel Torres Sanchez; 38; 27; 08/03/2007; 08/03/2034; 10; 2(B); B86; Medio; 2 Hora(s); Evasion
PPL 167; 6065124764; Mario Cesar Romero Gomez; 34; 19; 16/12/2011; 16/12/2030; 6; 2(B); B87; Medio; 2 Hora(s); Evasion
PPL 168; 1957794558; Dario Julian Cevallos Reyes; 45; 31; 19/06/1999; 19/06/2030; 6; 2(B); B88; Medio; 2 Hora(s); Hurto
PPL 169; 6587265388; Gonzalo Julian Gonzales Sanchez; 48; 8; 18/03/2020; 18/03/2028; 4; 2(B); B89; Medio; 2 Hora(s); Hurto
PPL 170; 8594769772; Carlos Antonio Guerrero Gomez; 41; 26; 01/01/2003; 01/01/2029; 5; 2(B); B90; Medio; 2 Hora(s); Robo
PPL 171; 6041828015; Fabian Antonio Cuenca Reyes; 29; 29; 24/08/2019; 24/08/2048; 24; 2(B); B1; Medio; 2 Hora(s); Hurto
PPL 172; 5667668017; Mario Pablo Paredes Ramirez; 23; 8; 16/03/2020; 16/03/2028; 4; 2(B); B2; Medio; 2 Hora(s); Fraude
PPL 173; 8614450131; Victor Pablo Perero Sanchez; 64; 50; 18/10/1980; 18/10/2030; 6; 2(B); B3; Medio; 2 Hora(s); Fraude
PPL 174; 7030235613; Michael Diego Romero Rivera; 40; 23; 02/12/2022; 02/12/2045; 21; 2(B); B4; Medio; 2 Hora(s); Fraude
PPL 175; 3490098816; Victor Sergio Romero Morales; 47; 30; 05/09/1997; 05/09/2027; 3; 2(B); B5; Medio; 2 Hora(s); Hurto
PPL 176; 8171276945; Carlos Antonio Paredes Rivera; 32; 27; 19/04/2013; 19/04/2040; 16; 2(B); B6; Medio; 2 Hora(s); Fraude
PPL 177; 3440483744; Pedro Sergio Perero Roman; 56; 41; 19/01/1989; 19/01/2030; 6; 2(B); B7; Medio; 2 Hora(s); Robo
PPL 178; 9023184719; Dario Pablo Gonzales Rivera; 60; 45; 12/10/1984; 12/10/2029; 5; 2(B); B8; Medio; 2 Hora(s); Robo
PPL 179; 1670579332; Roberto Antonio Perero Reyes; 54; 38; 30/05/1989; 30/05/2027; 3; 2(B); B9; Medio; 2 Hora(s); Robo
PPL 180; 2422775605; Pedro Angel Torres Gomez; 48; 32; 15/11/1997; 15/11/2029; 5; 2(B); B10; Medio; 2 Hora(s); Robo
PPL 181; 3974666011; Roberto Paulo Perero Gomez; 65; 46; 14/09/1981; 14/09/2027; 3; 2(B); B11; Medio; 2 Hora(s); Hurto
PPL 182; 7115141535; Gonzalo Antonio Torres Ramirez; 49; 33; 07/12/1997; 07/12/2030; 6; 2(B); B12; Medio; 2 Hora(s); Evasion
PPL 183; 2412248667; Carlos Cesar Paredes Reyes; 33; 28; 13/12/2018; 13/12/2046; 22; 2(B); B13; Medio; 2 Hora(s); Evasion
PPL 184; 7812915673; Roberto Antonio Gonzales Roman; 63; 50; 12/11/1980; 12/11/2030; 6; 2(B); B14; Medio; 2 Hora(s); Hurto
PPL 185; 4493267992; Gonzalo Pablo Perero Espinosa; 63; 49; 20/10/1981; 20/10/2030; 6; 2(B); B15; Medio; 2 Hora(s); Robo
PPL 186; 9615015242; Dario Cesar Guerrero Roman; 41; 24; 23/01/2005; 23/01/2029; 5; 2(B); B16; Medio; 2 Hora(s); Fraude
PPL 187; 9156483076; Roberto Paulo Paredes Espinosa; 44; 25; 14/02/2019; 14/02/2044; 20; 2(B); B17; Medio; 2 Hora(s); Robo
PPL 188; 4553766253; Mario Julian Paredes Sanchez; 44; 14; 20/09/2012; 20/09/2026; 2; 2(B); B18; Medio; 2 Hora(s); Fraude
PPL 189; 1598678799; Gonzalo Diego Romero Sanchez; 61; 48; 10/07/1982; 10/07/2030; 6; 2(B); B19; Medio; 2 Hora(s); Fraude
PPL 190; 6910424584; Roberto Diego Romero Roman; 59; 46; 28/03/1984; 28/03/2030; 6; 2(B); B20; Medio; 2 Hora(s); Fraude
PPL 191; 1571648526; Roberto Adrian Cevallos Gomez; 64; 50; 12/08/1980; 12/08/2030; 6; 2(B); B21; Medio; 2 Hora(s); Fraude
PPL 192; 8583387070; Victor Diego Cevallos Espinosa; 65; 46; 15/03/1980; 15/03/2026; 2; 2(B); B22; Medio; 2 Hora(s); Evasion
PPL 193; 7180863642; Mario Sergio Torres Hidalgo; 37; 22; 07/06/2022; 07/06/2044; 20; 2(B); B23; Medio; 2 Hora(s); Evasion
PPL 194; 6659458640; Roberto Antonio Garcia Morales; 43; 26; 17/11/2002; 17/11/2028; 4; 2(B); B24; Medio; 2 Hora(s); Fraude
PPL 195; 4256734132; Gonzalo Adrian Garcia Hidalgo; 53; 36; 09/01/1991; 09/01/2027; 3; 2(B); B25; Medio; 2 Hora(s); Hurto
PPL 196; 9119150253; Roberto Pablo Paredes Espinosa; 63; 43; 24/05/1983; 24/05/2026; 2; 2(B); B26; Medio; 2 Hora(s); Hurto
PPL 197; 5830551933; Gonzalo Angel Cuenca Reyes; 50; 35; 24/02/1993; 24/02/2028; 4; 2(B); B27; Medio; 2 Hora(s); Robo
PPL 198; 5276727664; Carlos Pablo Gonzales Sanchez; 63; 45; 26/04/1983; 26/04/2028; 4; 2(B); B28; Medio; 2 Hora(s); Hurto
PPL 199; 4885275301; Fabian Pablo Cuenca Reyes; 50; 18; 15/12/2020; 15/12/2038; 14; 2(B); B29; Medio; 2 Hora(s); Evasion
PPL 200; 6819465153; Roberto Cesar Paredes Morales; 45; 21; 08/09/2016; 08/09/2037; 13; 2(B); B30; Medio; 2 Hora(s); Robo
PPL 201; 9632586852; Dario Cesar Cevallos Roman; 34; 20; 20/12/2010; 20/12/2030; 6; 2(B); B31; Medio; 2 Hora(s); Hurto
PPL 202; 8660271744; Dario Sergio Garcia Hidalgo; 57; 44; 09/02/1986; 09/02/2030; 6; 2(B); B32; Medio; 2 Hora(s); Evasion
PPL 203; 1985590474; Fabian Julian Cuenca Hidalgo; 35; 22; 25/01/2008; 25/01/2030; 6; 2(B); B33; Medio; 2 Hora(s); Fraude
PPL 204; 5328434710; Fabian Paulo Paredes Roman; 27; 6; 12/07/2023; 12/07/2029; 5; 2(B); B34; Medio; 2 Hora(s); Evasion
PPL 205; 5109670516; Michael Pablo Paredes Rivera; 55; 37; 04/02/1990; 04/02/2027; 3; 2(B); B35; Medio; 2 Hora(s); Evasion
PPL 206; 1110095717; Pedro Julian Paredes Roman; 56; 37; 25/02/1990; 25/02/2027; 3; 2(B); B36; Medio; 2 Hora(s); Evasion
PPL 207; 5286276879; Michael Antonio Paredes Ramirez; 38; 22; 15/03/2008; 15/03/2030; 6; 2(B); B37; Medio; 2 Hora(s); Robo
PPL 208; 9455975619; Roberto Sergio Paredes Roman; 62; 46; 05/09/1982; 05/09/2028; 4; 2(B); B38; Medio; 2 Hora(s); Evasion
PPL 209; 3810311936; Mario Paulo Garcia Gomez; 37; 26; 14/06/2022; 14/06/2048; 24; 2(B); B39; Medio; 2 Hora(s); Evasion
PPL 210; 6918334283; Gonzalo Angel Torres Hidalgo; 59; 43; 17/03/1987; 17/03/2030; 6; 2(B); B40; Medio; 2 Hora(s); Fraude
PPL 211; 3021892600; Roberto Paulo Gonzales Hidalgo; 38; 25; 18/10/2005; 18/10/2030; 6; 2(B); B41; Medio; 2 Hora(s); Hurto
PPL 212; 4404563932; Mario Julian Paredes Sanchez; 51; 32; 28/06/1994; 28/06/2026; 2; 2(B); B42; Medio; 2 Hora(s); Robo
PPL 213; 4828836122; Pedro Sergio Perero Gomez; 40; 27; 24/05/2003; 24/05/2030; 6; 2(B); B43; Medio; 2 Hora(s); Robo
PPL 214; 3925631113; Mario Angel Gonzales Espinosa; 43; 18; 31/11/2013; 31/11/2031; 7; 2(B); B44; Medio; 2 Hora(s); Fraude
PPL 215; 2948625320; Carlos Cesar Cevallos Reyes; 42; 30; 18/09/2020; 18/09/2050; 26; 2(B); B45; Medio; 2 Hora(s); Evasion
PPL 216; 9842623997; Carlos Paulo Paredes Roman; 61; 45; 15/03/1982; 15/03/2027; 3; 2(B); B46; Medio; 2 Hora(s); Hurto
PPL 217; 4161275860; Pedro Antonio Guerrero Espinosa; 37; 17; 08/08/2021; 08/08/2038; 14; 2(B); B47; Medio; 2 Hora(s); Fraude
PPL 218; 9221698683; Pedro Diego Cevallos Hidalgo; 40; 10; 23/10/2016; 23/10/2026; 2; 2(B); B48; Medio; 2 Hora(s); Fraude
PPL 219; 3786671639; Mario Diego Cuenca Reyes; 35; 18; 16/02/2008; 16/02/2026; 2; 2(B); B49; Medio; 2 Hora(s); Evasion
PPL 220; 7534937733; Carlos Antonio Paredes Reyes; 38; 24; 20/11/2005; 20/11/2029; 5; 2(B); B50; Medio; 2 Hora(s); Robo
PPL 221; 7856291219; Roberto Diego Garcia Sanchez; 61; 45; 03/06/1983; 03/06/2028; 4; 2(B); B51; Medio; 2 Hora(s); Hurto
PPL 222; 1677319437; Fabian Adrian Perero Morales; 36; 28; 20/05/2007; 20/05/2035; 11; 2(B); B52; Medio; 2 Hora(s); Robo
PPL 223; 8343580216; Gonzalo Julian Paredes Sanchez; 54; 38; 18/12/1989; 18/12/2027; 3; 2(B); B53; Medio; 2 Hora(s); Evasion
PPL 224; 3018485669; Pedro Cesar Perero Sanchez; 48; 31; 31/04/1995; 31/04/2026; 2; 2(B); B54; Medio; 2 Hora(s); Fraude
PPL 225; 8165062528; Mario Julian Cevallos Morales; 48; 33; 22/12/1995; 22/12/2028; 4; 2(B); B55; Medio; 2 Hora(s); Hurto
PPL 226; 5993091167; Pedro Cesar Guerrero Reyes; 65; 50; 20/05/1980; 20/05/2030; 6; 2(B); B56; Medio; 2 Hora(s); Hurto
PPL 227; 2613579227; Michael Pablo Cuenca Rivera; 47; 19; 12/03/2015; 12/03/2034; 10; 2(B); B57; Medio; 2 Hora(s); Evasion
PPL 228; 6521673516; Gonzalo Julian Torres Gomez; 63; 48; 20/10/1980; 20/10/2028; 4; 2(B); B58; Medio; 2 Hora(s); Robo
PPL 229; 1285916223; Victor Adrian Torres Hidalgo; 54; 37; 21/11/1991; 21/11/2028; 4; 2(B); B59; Medio; 2 Hora(s); Evasion
PPL 230; 7452798389; Roberto Angel Garcia Sanchez; 37; 26; 11/08/2011; 11/08/2037; 13; 2(B); B60; Medio; 2 Hora(s); Hurto
PPL 231; 7599996341; Victor Paulo Gonzales Sanchez; 40; 23; 31/07/2004; 31/07/2027; 3; 2(B); B61; Medio; 2 Hora(s); Fraude
PPL 232; 8903250259; Gonzalo Adrian Garcia Hidalgo; 49; 33; 28/11/1994; 28/11/2027; 3; 2(B); B62; Medio; 2 Hora(s); Hurto
PPL 233; 1404695183; Dario Antonio Guerrero Ramirez; 56; 40; 12/08/1988; 12/08/2028; 4; 2(B); B63; Medio; 2 Hora(s); Robo
PPL 234; 8555640933; Mario Angel Paredes Roman; 45; 31; 25/03/1998; 25/03/2029; 5; 2(B); B64; Medio; 2 Hora(s); Evasion
PPL 235; 6518114911; Roberto Diego Cuenca Sanchez; 47; 28; 19/05/1999; 19/05/2027; 3; 2(B); B65; Medio; 2 Hora(s); Evasion
PPL 236; 3611615554; Pedro Adrian Perero Roman; 29; 16; 15/08/2022; 15/08/2038; 14; 2(B); B66; Medio; 2 Hora(s); Fraude
PPL 237; 7985576974; Fabian Antonio Perero Reyes; 62; 47; 11/03/1982; 11/03/2029; 5; 2(B); B67; Medio; 2 Hora(s); Robo
PPL 238; 9342446560; Fabian Antonio Garcia Ramirez; 34; 15; 22/06/2012; 22/06/2027; 3; 2(B); B68; Medio; 2 Hora(s); Hurto
PPL 239; 2797152388; Carlos Adrian Cevallos Rivera; 22; 15; 13/12/2022; 13/12/2037; 13; 2(B); B69; Medio; 2 Hora(s); Robo
PPL 240; 8802188293; Mario Antonio Paredes Sanchez; 56; 37; 21/06/1989; 21/06/2026; 2; 2(B); B70; Medio; 2 Hora(s); Hurto
PPL 241; 2655318500; Mario Cesar Romero Espinosa; 19; 14; 11/01/2024; 11/01/2038; 14; 2(B); B71; Medio; 2 Hora(s); Fraude
PPL 242; 1835970517; Michael Adrian Torres Ramirez; 47; 29; 12/03/1998; 12/03/2027; 3; 2(B); B72; Medio; 2 Hora(s); Hurto
PPL 243; 7028636761; Pedro Diego Paredes Morales; 38; 23; 10/04/2007; 10/04/2030; 6; 2(B); B73; Medio; 2 Hora(s); Hurto
PPL 244; 9964728662; Pedro Antonio Perero Roman; 49; 13; 27/07/2015; 27/07/2028; 4; 2(B); B74; Medio; 2 Hora(s); Robo
PPL 245; 9219733926; Michael Sergio Paredes Roman; 58; 42; 02/08/1985; 02/08/2027; 3; 2(B); B75; Medio; 2 Hora(s); Hurto
PPL 246; 8195697567; Fabian Antonio Romero Rivera; 47; 30; 20/08/1997; 20/08/2027; 3; 2(B); B76; Medio; 2 Hora(s); Robo
PPL 247; 5553794306; Roberto Angel Torres Reyes; 33; 15; 25/08/2019; 25/08/2034; 10; 2(B); B77; Medio; 2 Hora(s); Robo
PPL 248; 6961811822; Roberto Sergio Perero Roman; 55; 41; 17/07/1988; 17/07/2029; 5; 2(B); B78; Medio; 2 Hora(s); Hurto
PPL 249; 9332828375; Dario Pablo Paredes Reyes; 48; 22; 14/02/2007; 14/02/2029; 5; 2(B); B79; Medio; 2 Hora(s); Evasion
PPL 250; 5224952815; Gonzalo Angel Romero Hidalgo; 50; 26; 05/10/2003; 05/10/2029; 5; 2(B); B80; Medio; 2 Hora(s); Hurto
PPL 251; 1667868496; Carlos Julian Cuenca Sanchez; 65; 49; 28/05/1980; 28/05/2029; 5; 2(B); B81; Medio; 2 Hora(s); Evasion
